name,source_folder,rho,POAV,Porosity
MOF_net-ana-e_node1-N13_edge1-E10,descriptors_1,0.782104,0.796697,0.6231
MOF_net-ana-e_node1-N13_edge1-E2,descriptors_1,0.759456,0.825328,0.6268
MOF_net-ana-e_node1-N13_edge1-E3,descriptors_1,0.646526,1.03878,0.6716
MOF_net-ana-e_node1-N13_edge1-E5,descriptors_1,0.46209,1.5761,0.7283
MOF_net-ana-e_node1-N16_edge1-E13,descriptors_1,0.143426,6.14114,0.8808
MOF_net-ana-e_node1-N19_edge1-E3,descriptors_1,0.615051,0.983821,0.6051
MOF_net-ana-e_node1-N39_edge1-none,descriptors_1,1.04482,0.373367,0.3901
MOF_net-ana-e_node1-N49_edge1-none,descriptors_1,1.31579,0.179664,0.2364
MOF_net-ana-e_node1-N51_edge1-E2,descriptors_1,0.406366,1.89952,0.7719
MOF_net-ana-e_node1-N6_edge1-none,descriptors_1,1.06627,0.444913,0.4744
MOF_net-ana-f_node1-N66_node2-N66_edge1-E2,descriptors_1,0.0925065,10.2079,0.9443
MOF_net-ana-f_node1-N66_node2-N66_edge1-none,descriptors_1,0.221156,4.13464,0.9144
MOF_net-ana-f_node1-N66_node2-N83_edge1-E8,descriptors_1,0.0283337,34.623,0.981
MOF_net-ana-f_node1-N66_node2-N83_edge1-none,descriptors_1,0.0996374,9.51249,0.9478
MOF_net-ana-f_node1-N66_node2-orgN14_edge1-none,descriptors_1,0.0998553,9.35854,0.9345
MOF_net-ana-f_node1-N66_node2-orgN23_edge1-none,descriptors_1,0.17411,5.30066,0.9229
MOF_net-ana-f_node1-N66_node2-orgN9_edge1-none,descriptors_1,0.322888,2.6904,0.8687
MOF_net-ana-f_node1-N83_node2-N66_edge1-E13,descriptors_1,0.0187313,52.6766,0.9867
MOF_net-ana-f_node1-N83_node2-N66_edge1-E14,descriptors_1,0.0290355,33.7862,0.981
MOF_net-ana-f_node1-N83_node2-N66_edge1-E3,descriptors_1,0.0480201,20.2124,0.9706
MOF_net-ana-f_node1-N83_node2-N83_edge1-E3,descriptors_1,0.0325961,30.0282,0.9788
MOF_net-ana-f_node1-N83_node2-orgN14_edge1-E2,descriptors_1,0.0409924,23.4922,0.963
MOF_net-ana-f_node1-N83_node2-orgN14_edge1-E5,descriptors_1,0.0292322,33.2818,0.9729
MOF_net-ana-f_node1-N83_node2-orgN14_edge1-none,descriptors_1,0.0636232,14.9238,0.9495
MOF_net-ana-f_node1-N83_node2-orgN17_edge1-E10,descriptors_1,0.0416337,23.1399,0.9634
MOF_net-ana-f_node1-N83_node2-orgN17_edge1-E3,descriptors_1,0.0361207,26.8212,0.9688
MOF_net-ana-f_node1-N83_node2-orgN22_edge1-E1,descriptors_1,0.0231869,41.946,0.9726
MOF_net-ana-f_node1-N83_node2-orgN22_edge1-E10,descriptors_1,0.0535871,17.9353,0.9611
MOF_net-ana-f_node1-N83_node2-orgN22_edge1-E13,descriptors_1,0.0177494,55.5793,0.9865
MOF_net-ana-f_node1-N83_node2-orgN22_edge1-E15,descriptors_1,0.0185416,52.9404,0.9816
MOF_net-ana-f_node1-N83_node2-orgN23_edge1-E1,descriptors_1,0.0214703,45.4069,0.9749
MOF_net-ana-f_node1-N83_node2-orgN23_edge1-E2,descriptors_1,0.0472183,20.473,0.9667
MOF_net-ana-f_node1-N83_node2-orgN23_edge1-E3,descriptors_1,0.0410924,23.6248,0.9708
MOF_net-ana-f_node1-N83_node2-orgN26_edge1-E3,descriptors_1,0.041302,23.287,0.9618
MOF_net-ana-f_node1-N83_node2-orgN2_edge1-E1,descriptors_1,0.0212462,45.8624,0.9744
MOF_net-ana-f_node1-N83_node2-orgN2_edge1-E10,descriptors_1,0.045524,21.1779,0.9641
MOF_net-ana-f_node1-N83_node2-orgN2_edge1-E2,descriptors_1,0.0500003,19.1679,0.9584
MOF_net-ana-f_node1-N83_node2-orgN2_edge1-E5,descriptors_1,0.0309798,31.4818,0.9753
MOF_net-ana-f_node1-N83_node2-orgN3_edge1-E10,descriptors_1,0.0532823,18.0435,0.9614
MOF_net-ana-f_node1-N83_node2-orgN3_edge1-E3,descriptors_1,0.0449355,21.5375,0.9678
MOF_net-ana-f_node1-N83_node2-orgN3_edge1-E8,descriptors_1,0.0261955,37.4339,0.9806
MOF_net-ana-f_node1-N83_node2-orgN5_edge1-E10,descriptors_1,0.0532108,18.0809,0.9621
MOF_net-ana-f_node1-N83_node2-orgN5_edge1-E14,descriptors_1,0.0272946,35.9045,0.98
MOF_net-ana-f_node1-N83_node2-orgN5_edge1-E7,descriptors_1,0.0305053,31.8469,0.9715
MOF_net-ana-f_node1-N83_node2-orgN8_edge1-E14,descriptors_1,0.0338772,28.7273,0.9732
MOF_net-ana-f_node1-N83_node2-orgN9_edge1-E15,descriptors_1,0.0240777,40.4856,0.9748
MOF_net-ana-f_node1-N83_node2-orgN9_edge1-none,descriptors_1,0.136443,6.66797,0.9098
MOF_net-ana_node1-N10_edge1-E13,descriptors_1,0.103945,8.92686,0.9279
MOF_net-ana_node1-N10_edge1-E14,descriptors_1,0.172191,5.15822,0.8882
MOF_net-ana_node1-N10_edge1-E8,descriptors_1,0.163097,5.44094,0.8874
MOF_net-ana_node1-N18_edge1-E10,descriptors_1,0.431845,1.74854,0.7551
MOF_net-ana_node1-N18_edge1-E13,descriptors_1,0.10502,8.89167,0.9338
MOF_net-ana_node1-N18_edge1-E14,descriptors_1,0.179362,4.99604,0.8961
MOF_net-ana_node1-N18_edge1-E5,descriptors_1,0.242291,3.53501,0.8565
MOF_net-ana_node1-N18_edge1-E8,descriptors_1,0.169985,5.28458,0.8983
MOF_net-ana_node1-N18_edge1-none,descriptors_1,0.985836,0.531528,0.524
MOF_net-ana_node1-N42_edge1-E3,descriptors_1,0.468811,1.45581,0.6825
MOF_net-ana_node1-N42_edge1-E5,descriptors_1,0.315719,2.49716,0.7884
MOF_net-ana_node1-N55_edge1-E13,descriptors_1,0.102528,9.08533,0.9315
MOF_net-ana_node1-N55_edge1-E2,descriptors_1,0.390639,1.96268,0.7667
MOF_net-ana_node1-N73_edge1-E13,descriptors_1,0.106813,8.80604,0.9406
MOF_net-ana_node1-N73_edge1-E14,descriptors_1,0.182933,4.9723,0.9096
MOF_net-ana_node1-N73_edge1-E15,descriptors_1,0.111799,8.27106,0.9247
MOF_net-ana_node1-N74_edge1-E1,descriptors_1,0.154468,5.65489,0.8735
MOF_net-ana_node1-N74_edge1-E14,descriptors_1,0.202677,4.43514,0.8989
MOF_net-ana_node1-N74_edge1-E8,descriptors_1,0.192407,4.70097,0.9045
MOF_net-ana_node1-N74_edge1-none,descriptors_1,1.21776,0.477925,0.582
MOF_net-ana_node1-N78_edge1-E0,descriptors_1,0.217556,3.91256,0.8512
MOF_net-ana_node1-N78_edge1-E10,descriptors_1,0.46289,1.64164,0.7599
MOF_net-anh_node1-N12_node2-N66_edge1-E0,descriptors_1,0.214338,4.16164,0.892
MOF_net-anh_node1-N12_node2-N66_edge1-E1,descriptors_1,0.154387,5.85348,0.9037
MOF_net-anh_node1-N12_node2-N66_edge1-E14,descriptors_1,0.195073,4.7008,0.917
MOF_net-anh_node1-N12_node2-N66_edge1-E3,descriptors_1,0.351804,2.438,0.8577
MOF_net-anh_node1-N12_node2-N66_edge1-E9,descriptors_1,0.140279,6.68808,0.9382
MOF_net-anh_node1-N12_node2-N83_edge1-E0,descriptors_1,0.134691,6.92546,0.9328
MOF_net-anh_node1-N12_node2-N83_edge1-E10,descriptors_1,0.225056,3.99278,0.8986
MOF_net-anh_node1-N12_node2-N83_edge1-E2,descriptors_1,0.220426,4.09661,0.903
MOF_net-anh_node1-N12_node2-orgN11_edge1-none,descriptors_1,0.817403,0.749569,0.6127
MOF_net-anh_node1-N12_node2-orgN14_edge1-E2,descriptors_1,0.219683,4.06221,0.8924
MOF_net-anh_node1-N12_node2-orgN14_edge1-E3,descriptors_1,0.188794,4.78035,0.9025
MOF_net-anh_node1-N12_node2-orgN17_edge1-E0,descriptors_1,0.135147,6.82961,0.923
MOF_net-anh_node1-N12_node2-orgN17_edge1-E14,descriptors_1,0.122552,7.65631,0.9383
MOF_net-anh_node1-N12_node2-orgN17_edge1-E15,descriptors_1,0.0851371,11.1573,0.9499
MOF_net-anh_node1-N12_node2-orgN17_edge1-E2,descriptors_1,0.225833,3.91175,0.8834
MOF_net-anh_node1-N12_node2-orgN17_edge1-E7,descriptors_1,0.137387,6.6433,0.9127
MOF_net-anh_node1-N12_node2-orgN22_edge1-E10,descriptors_1,0.40244,1.98141,0.7974
MOF_net-anh_node1-N12_node2-orgN22_edge1-E5,descriptors_1,0.2386,3.67644,0.8772
MOF_net-anh_node1-N12_node2-orgN22_edge1-E7,descriptors_1,0.208776,4.14271,0.8649
MOF_net-anh_node1-N12_node2-orgN22_edge1-none,descriptors_1,0.799101,0.774746,0.6191
MOF_net-anh_node1-N12_node2-orgN23_edge1-E0,descriptors_1,0.202561,4.334,0.8779
MOF_net-anh_node1-N12_node2-orgN23_edge1-E1,descriptors_1,0.151568,5.91022,0.8958
MOF_net-anh_node1-N12_node2-orgN23_edge1-E10,descriptors_1,0.390629,2.05848,0.8041
MOF_net-anh_node1-N12_node2-orgN23_edge1-E13,descriptors_1,0.112119,8.35539,0.9368
MOF_net-anh_node1-N12_node2-orgN23_edge1-E14,descriptors_1,0.181017,5.02329,0.9093
MOF_net-anh_node1-N12_node2-orgN23_edge1-E15,descriptors_1,0.117926,7.86427,0.9274
MOF_net-anh_node1-N12_node2-orgN23_edge1-E2,descriptors_1,0.379608,2.12772,0.8077
MOF_net-anh_node1-N12_node2-orgN23_edge1-E5,descriptors_1,0.235793,3.71258,0.8754
