name,cif_file,Di,Df,Dif,rho,VSA,GSA,VPOV,GPOV,POAV_vol_frac,PONAV_vol_frac,GPOAV,GPONAV,POAV,PONAV
MOF_net-acs-a_node1-N10_edge1-E0,MOF_net-acs-a_node1-N10_edge1-E0.cif,36.36041,33.10801,36.36041,0.143916,839.738,5834.93,0.9016,6.264765557686428,0.9016,0.0,6.26478,0.0,76045.4,0.0
MOF_net-acs-a_node1-N10_edge1-E1,MOF_net-acs-a_node1-N10_edge1-E1.cif,43.91529,39.81246,43.91529,0.108294,691.099,6381.69,0.9142,8.441834265979647,0.9142,0.0,8.44183,0.0,165798.0,0.0
MOF_net-acs-a_node1-N10_edge1-E10,MOF_net-acs-a_node1-N10_edge1-E10.cif,24.64309,22.45559,24.64309,0.295145,1174.8,3980.42,0.8314,2.8169204967050097,0.8314,0.0,2.81692,0.0,27895.1,0.0
MOF_net-acs-a_node1-N10_edge1-E15,MOF_net-acs-a_node1-N10_edge1-E15.cif,49.40901,44.45326,49.40901,0.0811965,555.556,6842.12,0.9397,11.573158941579994,0.9397,0.0,11.5732,0.0,170040.0,0.0
MOF_net-acs-a_node1-N10_edge1-E2,MOF_net-acs-a_node1-N10_edge1-E2.cif,23.73833,19.05552,23.45821,0.285578,1239.55,4340.51,0.8468,2.965214407272269,0.8468,0.0,2.96522,0.0,29127.8,0.0
MOF_net-acs-a_node1-N10_edge1-E5,MOF_net-acs-a_node1-N10_edge1-E5.cif,31.86308,27.80337,31.54624,0.166157,924.957,5566.75,0.9014,5.424989618252616,0.9014,0.0,5.42498,0.0,51559.9,0.0
MOF_net-acs-a_node1-N10_edge1-none,MOF_net-acs-a_node1-N10_edge1-none.cif,14.99208,11.77452,14.99208,0.568172,1729.7,3044.33,0.7796,1.3721197102285927,0.7796,0.0,1.37212,0.0,6142.16,0.0
MOF_net-acs-a_node1-N18_edge1-E0,MOF_net-acs-a_node1-N18_edge1-E0.cif,38.5211,35.5857,38.5211,0.170328,865.233,5079.79,0.8937,5.24693532478512,0.8937,0.0,5.24692,0.0,70931.0,0.0
MOF_net-acs-a_node1-N18_edge1-E1,MOF_net-acs-a_node1-N18_edge1-E1.cif,49.58526,44.14034,49.58526,0.121778,723.131,5938.11,0.9085,7.460296605298166,0.9085,0.0,7.4603,0.0,156816.0,0.0
MOF_net-acs-a_node1-N18_edge1-E10,MOF_net-acs-a_node1-N18_edge1-E10.cif,26.39848,23.20791,26.39848,0.361101,1213.02,3359.23,0.825,2.2846793556373424,0.825,0.0,2.28468,0.0,25777.4,0.0
MOF_net-acs-a_node1-N18_edge1-E13,MOF_net-acs-a_node1-N18_edge1-E13.cif,54.10099,49.47827,53.92278,0.0884942,522.692,5906.51,0.9478,10.71030643816205,0.9478,0.0,10.7103,0.0,160168.0,0.0
MOF_net-acs-a_node1-N18_edge1-E14,MOF_net-acs-a_node1-N18_edge1-E14.cif,40.36589,36.56797,40.33454,0.150714,772.886,5128.17,0.918,6.091006807595845,0.918,0.0,6.09101,0.0,73096.0,0.0
MOF_net-acs-a_node1-N18_edge1-E15,MOF_net-acs-a_node1-N18_edge1-E15.cif,52.8622,47.79862,52.33492,0.0933777,577.488,6184.44,0.9376,10.040941252568867,0.9376,0.0,10.0409,0.0,161385.0,0.0
MOF_net-acs-a_node1-N18_edge1-E2,MOF_net-acs-a_node1-N18_edge1-E2.cif,25.37617,22.87073,25.26846,0.349512,1267.94,3627.76,0.8249,2.360147863306553,0.8249,0.0,2.36015,0.0,26441.2,0.0
MOF_net-acs-a_node1-N18_edge1-E3,MOF_net-acs-a_node1-N18_edge1-E3.cif,28.77467,26.10316,28.73247,0.287211,1141.48,3974.37,0.8543,2.9744682480824203,0.8543,0.0,2.97447,0.0,26440.5,0.0
MOF_net-acs-a_node1-N18_edge1-E5,MOF_net-acs-a_node1-N18_edge1-E5.cif,33.77006,29.94091,33.77006,0.203213,948.58,4667.9,0.8899,4.379148971768538,0.8899,0.0,4.37914,0.0,47663.4,0.0
MOF_net-acs-a_node1-N18_edge1-E6,MOF_net-acs-a_node1-N18_edge1-E6.cif,31.96833,29.31063,31.96833,0.197105,972.376,4933.29,0.9038,4.585373278201974,0.9038,0.0,4.58537,0.0,35633.5,0.0
