cif_name,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3
MOF_net-acs-a_node1-N10_edge1-E2,11.78032338,9.348489827,23.55043182,20.44945433,64.41233766,52.55194805,129.2965368,108.4393939,1,1.066829004,2.346590909,2.318181818,1.228625541,4.120400433,6.535984848,7.617965368,0.534964177,0.603848025,1.294198025,1.269959632,29.59597403,65.65592803,111.5264529,133.4282107,0,0.916512446,1.175808983,1.97469697,0,1.982142857,2.665584416,5.024891775,0,0,0,0,0,-2.314935065,-3.359036797,-4.541666667,0,-0.043051948,-0.052094156,-0.039296537,0,-6.254545455,-7.925324675,-12.12191185,8.527016364,15.94991273,22.77680909,23.47503182,112.5636364,167.3818182,165.2,170.8727273,0.977272727,2,2.813636364,2.995454545,4.190909091,11.16363636,16.74545455,18.76969697,0.692029091,1.364720909,1.741197273,1.856718182,148.5478182,229.4951397,289.3659579,324.9010976,0,0.447727273,0.790909091,1.127954545,0,1.481818182,8.009090909,9.418181818,0,0,0,0,0,-1.040909091,-2.231818182,-2.807575758,0,-9.09E-05,0.133227273,0.142772727,0,-2.783765636,-0.630583818,-2.544349455,163.2208889,314.6073556,644.9048,675.9192667,1284.444444,3391.111111,5212.666667,5389.333333,19.33333333,48.22222222,76,89.55555556,140.6666667,406.2222222,558,568.2222222,14.3572,37.34166667,56.37573333,60.27511111,1.7161,19.21115,15.51804167,33.4754125,144,415,456,722.5,1,4.333333333,5.166666667,8.666666667,19.66666667,47.70833333,80,110.7083333,1.9321,4.393558333,6.443808333,9.04195,0,-8.988333333,-5.0775,-14.20041667,0,17.41666667,24,43.79166667,0,0,0,0,0,9.125,4.791666667,14.125,0,2.8625,2.545833333,5.541666667,133.3673333,281.1475917,432.5628667,461.7642917,899.8333333,1723.666667,2443.5,2475.75,16.83333333,38.66666667,57.75,63.5,107,295.4166667,385.25,374.25,9.291183333,22.06788333,31.88896667,33.30124167
MOF_net-acs-a_node1-N10_edge1-none,11.8336,14.3061,23.45363333,15.28506667,64,78,127.3333333,82.66666667,1,1.5,2.208333333,1.291666667,2.75,8.541666667,6.583333333,1.791666667,0.5329,0.8322,1.202370833,0.688329167,28.09,77.91,89.85708333,36.28291667,0,1.00125,0.77875,0,0,2.25,1.75,0,0,0,0,0,0,-1.958333333,-1.875,0,0,-0.045,-0.035,0,0,-6.75,-5.25,0,2.9584,2.924,7.3788,2.9584,16,16,40,16,0.25,0.333333333,0.666666667,0.25,0.5,1.75,1.333333333,0.25,0.133225,0.187366667,0.360133333,0.133225,7.0225,19.96333333,24.02666667,7.0225,0,0.296666667,0.148333333,0,0,0.666666667,0.333333333,0,0,0,0,0,0,-0.666666667,-0.166666667,0,0,-0.013333333,-0.006666667,0,0,-2,-1,0,1347.3288,3431.7872,7755.7776,11307.9948,10560,34752,66304,95552,156,500,944,1436,1804,6512,11392,17208,119.5932,382.8596,733.3456,1057.1308,1.7161,21.02986667,26.53186667,42.84791667,144,448,784,1112,1,4.666666667,8.333333333,11.33333333,22,71.66666667,144.6666667,169.1666667,1.9321,4.735266667,10.5501,13.3301,0,-9.94,-9.336666667,-17.86166667,0,18.66666667,34.66666667,43.33333333,0,0,0,0,0,6.5,6.833333333,15.83333333,0,3.08,3.993333333,6.163333333,60.3394,112.6274,125.5370667,57.19573333,328,616,682.6666667,309.3333333,6,12.83333333,12.33333333,4.833333333,34.16666667,86,40,6.833333333,3.3174,7.231416667,6.7671,2.575683333
MOF_net-acs-a_node1-N18_edge1-E0,11.8336,8.863375,21.245225,18.09583333,64,48.5,115.5,96.58333333,1,1.010416667,2.072916667,2.072916667,1.03125,3.15625,4.364583333,6.0625,0.5329,0.567955208,1.135986458,1.143894792,28.09,60.51385417,92.34697917,121.5218102,0,0.899270833,0.954895833,1.870416667,0,2.020833333,2.145833333,4.510416667,0,0,0,0,0,-2.0625,-2.1875,-3.885416667,0,-0.040416667,-0.042916667,-0.05375,0,-6.0625,-6.4375,-11.9421851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.9317667,267.8156,568.35155,513.9218833,2126.416667,4685.5,6430.833333,5262.833333,14.75,35.83333333,59.33333333,63.33333333,104.1666667,285.1666667,383.1666667,332,10.064675,26.20176667,39.5941,39.76198333,3.5344,29.6194,21.45706667,41.9287,729,975.375,1325.25,1393.875,1,4.625,4.75,7.541666667,23.45833333,52.33333333,73.95833333,88.45833333,1.5876,4.197375,5.18385,7.077525,0,-7.06,-2.483333333,-8.124166667,0,88.75,79.16666667,152,0,0,0,0,0,13,6.416666667,14.25,0,2.49625,1.870833333,3.885416667,214.9485667,451.930125,769.5449,984.4841667,879.7916667,1906.5,3052.5,3455.916667,32.79166667,69.91666667,120,156.9166667,190.8333333,494.5,762.75,921.4166667,13.82517917,33.94095833,54.2633,67.673125
MOF_net-acs-a_node1-N18_edge1-E14,11.8336,8.863375,22.61585,18.77953333,64,48.5,123,98.08333333,1,1.010416667,2.229166667,2.135416667,1.03125,3.354166667,4.90625,6.083333333,0.5329,0.567955208,1.223814583,1.158951042,28.09,60.51385417,101.7047917,120.4310404,0,0.899270833,1.093958333,1.886666667,0,2.020833333,2.458333333,4.822916667,0,0,0,0,0,-2.239583333,-2.572916667,-3.84375,0,-0.040416667,-0.049166667,-0.02875,0,-6.0625,-7.375,-11.40512948,9.2416,15.504,30.495,40.831,49,84,137.8125,190.75,1,2,4.0625,5.125,4,12.125,20.875,24.125,0.5625,1.155,2.06484375,2.6371875,54.76,167.24,292.5805756,338.325114,0,0.98,2.31875,2.14875,0,2,8.75,8.625,0,0,0,0,0,-2.0625,-2.3125,-1.8125,0,-0.04,0.29375,0.3275,0,-7.8,-9.475415625,-7.79461,132.4736417,274.2866833,587.9318,527.9881333,2129.416667,4724.166667,6551.333333,5396.833333,14.83333333,37,61.83333333,65.33333333,109.5,307.5,422.6666667,362.6666667,10.11408333,26.85371667,40.86538333,40.86111667,3.5344,29.96406667,21.85656667,44.44085,729,977.625,1338.75,1478.25,1,4.708333333,4.833333333,8.041666667,23.95833333,54.20833333,82.45833333,97.70833333,1.5876,4.236225,5.2647,7.559475,0,-7.086666667,-2.539166667,-8.520416667,0,90.91666667,80.91666667,162.375,0,0,0,0,0,13.20833333,5.958333333,15.70833333,0,2.570416667,1.911666667,4.132916667,171.8792667,346.921125,546.12365,621.51905,791.7916667,1618.5,2388.75,2391.5,23.79166667,50.58333333,77.5,91.58333333,131.1666667,327.4166667,434.25,442.1666667,11.16427917,26.051025,37.8973,40.749825
MOF_net-acs-a_node1-N18_edge1-E2,11.72339858,8.966859574,20.55868369,17.56280851,66.5106383,52,113.4326241,97.78723404,1,1.028368794,2.014184397,2.014184397,1.085106383,3.170212766,4.283687943,6.191489362,0.54051844,0.586898582,1.110578723,1.139163121,33.40829787,65.48602837,94.85205674,126.1592908,0,0.865177305,0.879503546,1.751205674,0,2.085106383,2.255319149,4.212765957,0,0,0,0,0,-1.957446809,-2,-3.893617021,0,-0.035319149,-0.032340426,-0.071489362,0,-5.714893617,-5.710638298,-11.59574468,8.453205674,15.7646383,21.87929929,21.24294468,112.1276596,180.7943262,160.5248227,154.3829787,1,2.021276596,2.780141844,2.822695035,4.106382979,9.75177305,15.41843972,16.93617021,0.708242553,1.421817021,1.737868085,1.764480851,152.8365957,253.467234,300.2243972,322.0541844,0,0.379716312,0.699432624,1.041276596,0,-0.070921986,7.489361702,8.609929078,0,0,0,0,0,-0.695035461,-1.957446809,-2.609929078,0,-0.036879433,0.124680851,0.12141844,0,-3.731914894,-0.480851064,-2.846808511,135.8569083,274.2306,591.2122,544.91935,2188.25,4969.5,6740.5,5719.666667,15.16666667,36.83333333,61.66666667,67.16666667,108,299,405,357,10.45216667,27.41646667,41.5179,42.78833333,3.5344,30.49986667,21.96075,41.83783333,729,1027.125,1346.625,1417.5,1,4.791666667,4.833333333,7.5,24.70833333,55.625,77.95833333,89.54166667,1.5876,4.383225,5.2836,7.08225,0,-7.215,-2.594583333,-8.154166667,0,91.33333333,80.625,150,0,0,0,0,0,13.83333333,7.541666667,16.08333333,0,2.55875,1.896666667,3.829166667,139.3763478,269.4146087,416.4156522,446.1736,939,1690.26087,2358.608696,2376.608696,17.60869565,37.39130435,56.17391304,62.26086957,93.56521739,228.6956522,324.5217391,321.7391304,9.7011,21.39993913,31.05886957,32.61892174
MOF_net-acs-a_node1-N18_edge1-E3,11.8336,8.772,20.6056,17.544,64,48,112,96,1,1,2,2,1,3,4,5.895833333,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-3.895833333,0,-0.04,-0.04,-0.08,0,-6,-6,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.4736417,267.4059333,574.0938,526.1166333,2129.416667,4686.166667,6465.333333,5345.833333,14.83333333,36,60,65.16666667,105,289.8333333,394.3333333,339.8333333,10.11408333,26.26595,39.90545,40.64906667,3.5344,29.96406667,21.65681667,41.32945,729,977.625,1332,1373.625,1,4.708333333,4.791666667,7.416666667,23.95833333,53.79166667,75.875,85.95833333,1.5876,4.236225,5.224275,6.95625,0,-7.086666667,-2.51125,-8.040416667,0,90.91666667,80.04166667,149.375,0,0,0,0,0,13.29166667,7.083333333,15.125,0,2.570416667,1.89125,3.824166667,117.7060667,216.7585,332.6454,376.3578333,547.7916667,1005.5,1451,1412.083333,15.79166667,31.58333333,47.16666667,56.33333333,78.75,188.25,249.3333333,242.0833333,7.393879167,16.14369167,22.80738333,24.26623333
MOF_net-acs-a_node1-N18_edge1-E5,11.8336,8.95475,20.78835,17.70166667,64,49,113,96.16666667,1,1.020833333,2.020833333,2.020833333,1.0625,3.1875,4.229166667,6.041666667,0.5329,0.573810417,1.106710417,1.129827083,28.09,61.13770833,89.22770833,120.2776601,0,0.908541667,0.908541667,1.805833333,0,2.041666667,2.041666667,4.145833333,0,0,0,0,0,-2,-2,-3.8125,0,-0.040833333,-0.040833333,-0.0725,0,-6.125,-6.125,-11.98348146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.7673917,275.4119333,583.5396333,548.77155,2135.666667,4711.333333,6560.833333,5389.833333,15.25,37.16666667,61.66666667,68.16666667,109,302.6666667,410,362.1666667,10.247125,26.71601667,40.80221667,41.73836667,3.5344,30.1364,22.4284,42.07361667,729,978.75,1353.375,1389.375,1,4.75,4.958333333,7.583333333,24.25,55.08333333,79,89.75,1.5876,4.25565,5.364975,7.07595,0,-7.1,-2.608333333,-8.122916667,0,92,83.75,153.2916667,0,0,0,0,0,13.33333333,7.333333333,15.58333333,0,2.6075,1.989583333,3.939166667,152.7910667,304.283,480.2224,578.75,693.6666667,1396,2080,2151,21.66666667,45.5,70.83333333,89.5,116.6666667,290.5,416,448.1666667,10.02216667,23.23475,34.52421667,39.24461667
MOF_net-acs-a_node1-N18_edge1-E6,11.8336,8.772,20.6056,8.772,64,48,112,48,1,1,2,1,1,3,3,2,0.5329,0.5621,1.095,0.5621,28.09,59.89,87.98,59.89,0,0.89,0.89,0.89,0,2,2,2,0,0,0,0,0,-2,-1,-1,0,-0.04,-0.04,-0.04,0,-6,-6,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.7476,256.7616,547.5288,476.5088,2114,4656,6286,5136,14,34,56,58,98,266,356,296,9.81,25.55,38.074,37.6096,3.5344,29.1024,20.3134,39.4142,729,972,1296,1323,1,4.5,4.5,7,22.5,49.5,67.5,60,1.5876,4.1391,4.9833,6.615,0,-7.02,-2.345,-7.805,0,85.5,73.5,140,0,0,0,0,0,12.5,6,16,0,2.385,1.715,3.57,86.3494,135.201,169.5304,109.191,472,744,928,600,10,18,20,14,38,72,60,48,5.689,10.4258,11.3716,8.0542
MOF_net-acs-a_node1-N18_edge1-E7,11.78917417,9.0076625,21.91224917,18.03485833,63.76666667,49.3,119.1666667,96.68333333,1,1.033333333,2.158333333,2.075,1.15,3.616666667,4.841666667,6.370833333,0.5334,0.581606667,1.1850125,1.147774167,28.92,63.58133333,99.42258333,123.677662,0,0.882583333,1.00125,1.833,0,1.983333333,2.25,4.4,0,0,0,0,0,-2.1,-2.25,-3.845833333,0,-0.039666667,-0.045,-0.054666667,0,-5.95,-6.75,-11.74714067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.3930167,284.2936833,620.7913833,566.4352167,2144.666667,4791.666667,6742.666667,5622.666667,15.5,38.83333333,66.66666667,71.16666667,117.5,340.1666667,470.6666667,408.1666667,10.39535,27.78623333,43.05893333,43.71873333,3.5344,30.68081667,22.65556667,44.33353333,729,987.75,1365.75,1442.25,1,4.875,5,8.083333333,25.45833333,58.70833333,87.95833333,99.58333333,1.5876,4.334925,5.4264,7.45605,0,-7.154583333,-2.650833333,-8.385,0,95.04166667,84.41666667,164.8333333,0,0,0,0,0,14.20833333,7.25,18.33333333,0,2.702083333,1.993333333,4.2675,240.2060667,497.575125,825.2210667,972.3237917,919.6666667,1965,2969.666667,3420.666667,37.66666667,78,131.8333333,154.5,211.9166667,520.0833333,729.25,914.4166667,14.94856667,36.34656667,54.83765,67.13008333
MOF_net-acs-a_node1-N18_edge1-E8,11.8336,8.863375,21.7021,17.93816667,64,48.5,118,96.41666667,1,1.010416667,2.125,2.052083333,1.03125,3.25,4.510416667,6.125,0.5329,0.567955208,1.1652625,1.138267708,28.09,60.51385417,95.46625,121.0241502,0,0.899270833,1.00125,1.844583333,0,2.020833333,2.25,4.364583333,0,0,0,0,0,-2.135416667,-2.28125,-3.96875,0,-0.040416667,-0.045,-0.06125,0,-6.0625,-6.75,-11.95870365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.9865583,268.8705167,573.2441333,512.3288,2123.333333,4701.166667,6457.666667,5298.333333,14.58333333,36,59.83333333,63,105.6666667,293.6666667,398.8333333,339.5,10.00385833,26.40571667,39.89468333,39.7603,3.5344,29.6194,21.45706667,42.15586667,729,975.375,1325.25,1406.25,1,4.625,4.75,7.583333333,23.375,52.5,76.91666667,88.875,1.5876,4.197375,5.18385,7.13895,0,-7.06,-2.483333333,-8.166666667,0,88.75,79.16666667,152.6666667,0,0,0,0,0,12.875,6.041666667,14.33333333,0,2.49625,1.870833333,3.889166667,176.2827333,357.12325,563.0974,680.242,767.8333333,1580,2317,2359,25.83333333,54.25,84.5,107.4166667,140.5833333,353.1666667,491.4166667,528.4166667,11.50458333,27.090525,39.88085,44.985375
