iter	RMSE	R2	MAE
0	9.919947678	0.06711676672	7.447175345
5	8.370594032	0.3357659439	6.182909152
10	7.103043517	0.5217030833	5.151820308
15	6.063988345	0.6514016845	4.314020811
20	5.208790049	0.7427932937	3.634917929
25	4.507214607	0.8074138596	3.086654012
30	3.932741922	0.8533778742	2.646831445
35	3.463306243	0.8862921699	2.29423839
40	3.075618507	0.9103245454	2.012817267
45	2.762540557	0.9276521058	1.791087138
50	2.50847419	0.940347603	1.617522855
55	2.298380663	0.9499213587	1.480431748
60	2.12999498	0.9569903621	1.374147247
65	1.989634187	0.9624720308	1.289597922
70	1.870464538	0.9668328929	1.222187941
75	1.772902346	0.9702026059	1.168366341
80	1.693918327	0.9727984613	1.125857312
85	1.628934639	0.9748454855	1.091402624
90	1.575994472	0.9764539529	1.063277157
95	1.530513218	0.9777933656	1.039713383
100	1.492069701	0.9788949323	1.01996701
105	1.460288636	0.9797844319	1.003696216
110	1.431790089	0.9805657684	0.9890553328
115	1.407945563	0.9812076817	0.9768711365
120	1.386431548	0.9817776022	0.9658383631
125	1.368822454	0.982237549	0.9566294182
130	1.352107448	0.9826687067	0.9473077696
135	1.338675687	0.9830113296	0.9397062578
140	1.327356446	0.9832974144	0.9330609783
145	1.316970445	0.9835577731	0.9266852124
150	1.308161225	0.9837770009	0.9213347006
155	1.300084143	0.9839767142	0.9161842565
160	1.293146901	0.9841472584	0.9117847819
165	1.287136564	0.9842942805	0.9077507727
170	1.280774106	0.9844491655	0.9035813706
175	1.274797379	0.9845939615	0.899457877
180	1.269420277	0.9847236556	0.8956357042
185	1.264275058	0.9848472418	0.8919264472
190	1.259774831	0.9849549226	0.8886218846
195	1.255338877	0.9850606908	0.8852877942
200	1.249998685	0.985187521	0.8815839975
205	1.245910998	0.9852842414	0.8785673966
210	1.242336872	0.98536855	0.8758610226
215	1.238254631	0.9854645483	0.8728438386
220	1.233891513	0.9855668037	0.8697075365
225	1.230729139	0.9856406908	0.8672167627
230	1.227085436	0.9857255885	0.8646146635
235	1.222763666	0.9858259609	0.8615376288
240	1.218415733	0.9859265821	0.8582629651
245	1.214407614	0.9860190237	0.8551477087
250	1.211409253	0.9860879738	0.8528638942
255	1.206099158	0.9862096717	0.8490423575
260	1.202388711	0.9862943885	0.8463219883
265	1.197962583	0.9863951069	0.8431113102
270	1.19465652	0.9864700949	0.840680387
275	1.190843426	0.9865563276	0.8378520322
280	1.187956107	0.9866214388	0.8357308058
285	1.18421885	0.9867054826	0.833029521
290	1.181294158	0.9867710697	0.8308273451
295	1.177391867	0.9868583277	0.8281173132
300	1.173910788	0.9869359216	0.8256985299
305	1.167979447	0.9870676049	0.8216593786
310	1.162871537	0.9871804692	0.8182851581
315	1.159135954	0.9872626992	0.8156708661
320	1.155537355	0.9873416634	0.8130479861
325	1.152372307	0.9874109143	0.8106425088
330	1.148314636	0.9874994137	0.8078080046
335	1.14607071	0.9875482213	0.8059998677
340	1.141350605	0.9876505749	0.8027672955
345	1.138652013	0.9877089046	0.8007414379
350	1.135835842	0.9877696254	0.7985406404
355	1.131749282	0.9878574726	0.7955763094
360	1.12862072	0.9879245144	0.7932061912
365	1.12467222	0.9880088583	0.7903835087
370	1.120387066	0.98810006	0.787306315
375	1.118076188	0.9881490968	0.7855465251
380	1.113476418	0.9882464078	0.7821840733
385	1.110042713	0.9883187849	0.7796258151
390	1.106738036	0.9883882323	0.7772719716
395	1.103367779	0.9884588473	0.7749028076
400	1.100315248	0.9885226153	0.7727621788
405	1.096112757	0.9886101207	0.7699135203
410	1.093467503	0.9886650317	0.7678181638
415	1.088614283	0.9887654247	0.7644146276
420	1.085263164	0.9888344862	0.7619098056
425	1.083004119	0.9888809191	0.7601346423
430	1.079630823	0.9889500797	0.757716124
435	1.076702677	0.9890099348	0.7556047579
440	1.073417095	0.9890769084	0.7531439889
445	1.071028289	0.9891254722	0.7513503774
450	1.06720057	0.9892030603	0.7486390732
455	1.063575664	0.9892762812	0.7460556873
460	1.061189381	0.9893243492	0.7442557673
465	1.057297515	0.9894025092	0.7414798944
470	1.055035671	0.989447802	0.7397533432
475	1.050814187	0.9895320784	0.7368505593
480	1.047626549	0.989595492	0.7344856893
485	1.045243313	0.9896427774	0.7328279477
490	1.041700933	0.9897128599	0.73035928
495	1.039990033	0.9897466238	0.7290154761
500	1.036758277	0.9898102469	0.7267450737
505	1.034637276	0.9898518977	0.7250976695
510	1.030706409	0.9899288626	0.7224690112
515	1.026872473	0.9900036456	0.7197934373
520	1.024303713	0.990053597	0.7177958881
525	1.02122431	0.9901133106	0.7155340206
530	1.017832254	0.9901788803	0.7131087698
535	1.014770878	0.9902378705	0.7109218614
540	1.011742996	0.9902960413	0.7088326544
545	1.009417363	0.9903405999	0.707145279
550	1.006331654	0.9903995666	0.7050752623
555	1.002849952	0.9904658806	0.7025933946
560	0.9990335464	0.9905383091	0.6998413772
565	0.9963190091	0.9905896586	0.6978770666
570	0.9942542097	0.9906286202	0.6963040384
575	0.9906502278	0.9906964361	0.6937739297
580	0.9882828988	0.9907408506	0.6920998074
585	0.9848717983	0.9908046556	0.6896969277
590	0.9818673087	0.9908606743	0.6874707373
595	0.9794468734	0.9909056778	0.6856830101
600	0.9766044041	0.9909583855	0.6836730561
605	0.9752641831	0.9909831852	0.6824950741
610	0.972729554	0.9910299913	0.6806800456
615	0.9701293438	0.9910778827	0.6787807279
620	0.9666283005	0.9911421651	0.6762728313
625	0.9641023647	0.9911883984	0.6744869064
630	0.961420543	0.9912373527	0.6726006297
635	0.9586631502	0.9912875425	0.6706032396
640	0.9560688203	0.9913346345	0.6686760375
645	0.9535862397	0.9913795772	0.666773221
650	0.9506617668	0.991432371	0.6646752669
655	0.9482683455	0.9914754576	0.6629265566
660	0.9451570408	0.9915313035	0.6606681879
665	0.9420782276	0.9915863869	0.6585030145
670	0.9391400182	0.9916387871	0.6563131904
675	0.9376840117	0.9916646925	0.6551299602
680	0.9352643797	0.9917076542	0.653315886
685	0.9317669171	0.9917695569	0.6509494256
