cif_name,name,Di,Df_x,Dif,rho,VSA,GSA,VPOV,GPOV,POAV_vol_frac,PONAV_vol_frac,GPOAV,GPONAV,POAV,PONAV,Df_y
MOF_net-cml_node1-N38_node2-orgN8_edge1-E14,MOF_net-cml_node1-N38_node2-orgN8_edge1-E14.cif,22.34044,19.46409,22.33015,0.224778,1282.55,5705.83,0.8734,3.885611581,0.8734,0.0,3.88561,0.0,40386.8,0.0,
MOF_net-gar_node1-N29_node2-N53_edge1-E3,MOF_net-gar_node1-N29_node2-N53_edge1-E3.cif,14.67625,11.99907,14.67625,0.491067,1899.63,3868.38,0.712,1.449903985,0.712,0.0,1.4499,0.0,49604.8,0.0,
MOF_net-gis_node1-N55_edge1-E1,MOF_net-gis_node1-N55_edge1-E1.cif,40.08602,30.66031,38.05467,0.119582,826.978,6915.58,0.9059,7.575554849,0.9059,0.0,7.57557,0.0,201757.0,0.0,
MOF_net-gsi_node1-N73_edge1-E8,MOF_net-gsi_node1-N73_edge1-E8.cif,22.55412,17.17817,22.13041,0.223157,1178.91,5282.85,0.8976,4.022280278,0.8976,0.0,4.02228,0.0,75367.5,0.0,
MOF_net-nia-e_node1-N67_edge1-E14,MOF_net-nia-e_node1-N67_edge1-E14.cif,37.89811,16.32968,37.89811,0.271163,1152.36,4249.69,0.8331,3.072321814,0.8331,0.0,3.07232,0.0,99299.1,0.0,
MOF_net-pcu_node1-N36_edge1-none,MOF_net-pcu_node1-N36_edge1-none.cif,3.56094,2.41578,3.41403,1.81558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MOF_net-smb_node1-N38_edge1-E8,MOF_net-smb_node1-N38_edge1-E8.cif,22.51758,14.12473,22.51758,0.336156,1452.17,4319.94,0.8173,2.431311653,0.8173,0.0,2.43131,0.0,32853.8,0.0,
MOF_net-snk_node1-N81_edge1-E15,MOF_net-snk_node1-N81_edge1-E15.cif,19.94086,15.70472,17.91007,0.259311,1512.32,5832.08,0.8447,3.257478472,0.8447,0.0,3.25748,0.0,56716.5,0.0,
MOF_net-snp_node1-N33_edge1-E13,MOF_net-snp_node1-N33_edge1-E13.cif,22.82982,16.37085,22.82982,0.245482,1309.81,5335.66,0.8762,3.56930447,0.8762,0.0,3.56931,0.0,33311.0,0.0,
MOF_net-sxc_node1-N13_edge1-E10,MOF_net-sxc_node1-N13_edge1-E10.cif,8.22984,6.43809,8.1187,1.08044,1991.45,1843.19,0.5695,0.52710007,0.5695,0.0,0.527101,0.0,2619.32,0.0,
MOF_net-umq_node1-N78_edge1-E0,MOF_net-umq_node1-N78_edge1-E0.cif,29.40838,25.01576,29.40838,0.189342,1092.09,5767.83,0.878,4.637111682,0.878,0.0,4.63712,0.0,170348.0,0.0,
MOF_net-wiq_node1-N38_edge1-E3,MOF_net-wiq_node1-N38_edge1-E3.cif,12.66054,11.26099,12.6091,0.638327,1787.15,2799.74,0.6456,1.011393847,0.6456,0.0,1.01139,0.0,36323.7,0.0,
MOF_net-wkr_node1-N38_edge1-E5,MOF_net-wkr_node1-N38_edge1-E5.cif,33.1216,28.9032,33.1216,0.391836,1306.53,3334.37,0.7685,1.961279719,0.7685,0.0,1.96128,0.0,64567.3,0.0,
MOF_net-wns_node1-N32_edge1-E8,MOF_net-wns_node1-N32_edge1-E8.cif,21.90556,17.74968,21.90556,0.340186,1749.41,5142.5,0.7803,2.293745186,0.7803,0.0,2.29375,0.0,46606.7,0.0,
MOF_net-anh_node1-N53_node2-N66_edge1-E5,MOF_net-anh_node1-N53_node2-N66_edge1-E5.cif,23.41576,19.09701,23.41576,0.274527,1358.28,4947.7,0.8785,3.20004954,0.8785,0.0,3.20005,0.0,29738.4,0.0,
MOF_net-cml_node1-N66_node2-N38_edge1-E10,MOF_net-cml_node1-N66_node2-N38_edge1-E10.cif,17.56092,13.40949,17.38624,0.457878,1684.28,3678.45,0.7912,1.727971206,0.7912,0.0,1.72797,0.0,22705.1,0.0,
MOF_net-pcu_node1-N48_edge1-E14,MOF_net-pcu_node1-N48_edge1-E14.cif,9.80149,7.48198,9.80149,0.553311,2393.56,4325.89,0.7091,1.28155775,0.7091,0.0,1.28156,0.0,3283.87,0.0,
MOF_net-pyr_node1-N66_node2-N12_edge1-E2,MOF_net-pyr_node1-N66_node2-N12_edge1-E2.cif,19.59126,12.3794,19.52982,0.451367,1762.21,3904.17,0.8051,1.783692649,0.8051,0.0,1.78369,0.0,26832.1,0.0,
MOF_net-ske_node1-N39_edge1-E1,MOF_net-ske_node1-N39_edge1-E1.cif,19.17452,13.07079,17.34919,0.279336,1808.22,6473.28,0.7841,2.807013776,0.7841,0.0,2.80702,0.0,58526.1,0.0,
MOF_net-snk_node1-N81_edge1-E5,MOF_net-snk_node1-N81_edge1-E5.cif,12.54338,10.38526,11.5691,0.523368,2083.46,3980.87,0.7398,1.413536938,0.7398,0.0,1.41354,0.0,17277.3,0.0,
MOF_net-ssb_node1-N41_node2-orgN18_edge1-E10,MOF_net-ssb_node1-N41_node2-orgN18_edge1-E10.cif,30.47398,18.39848,30.47398,0.201769,1093.62,5420.13,0.8707,4.315330898,0.8707,0.0,4.31533,0.0,82695.2,0.0,
MOF_net-uku_node1-N4_edge1-E7,MOF_net-uku_node1-N4_edge1-E7.cif,31.26983,19.57269,31.26983,0.249483,1204.9,4829.59,0.8007,3.209437116,0.8007,0.0,3.20944,0.0,66697.4,0.0,
