iter	RMSE	R2	MAE
0	10.07297742	0.03811241817	7.583121504
1	9.879780205	0.07465610672	7.4359028
2	9.690935551	0.1096925491	7.291460775
3	9.505737119	0.1433958054	7.150204035
4	9.324702319	0.1757128114	7.011848744
5	9.147225742	0.2067914417	6.876113416
6	8.973089048	0.2367047626	6.743532112
7	8.803739404	0.2652443156	6.614311438
8	8.638549032	0.2925590381	6.486836139
9	8.475375844	0.3190322733	6.362363479
10	8.314356846	0.3446611457	6.240404074
11	8.157116551	0.3692141644	6.121608998
12	8.004017408	0.392670123	6.004698362
13	7.853841541	0.4152464506	5.8903533
14	7.705851203	0.4370759096	5.778278515
15	7.562330616	0.4578494312	5.668766932
16	7.421080017	0.4779130643	5.561155979
17	7.282708165	0.4972009928	5.456229405
18	7.147052074	0.5157579605	5.353314356
19	7.015229983	0.5334561985	5.252577318
20	6.885555362	0.5505446583	5.154381471
21	6.758796939	0.5669406749	5.058102352
22	6.633662165	0.5828278594	4.963680141
23	6.511870931	0.59800545	4.871408538
24	6.392130781	0.6126532636	4.780907427
25	6.275957232	0.6266049571	4.692548362
26	6.161898497	0.6400537301	4.606171241
27	6.050070407	0.653000016	4.52127597
28	5.940130826	0.6654965377	4.438315374
29	5.833370464	0.6774123669	4.357459962
30	5.727959834	0.6889655276	4.278390547
31	5.624874237	0.7000601079	4.20096144
32	5.525116335	0.7106047151	4.125182851
33	5.427167098	0.72077456	4.051278326
34	5.331149314	0.7305673082	3.978857889
35	5.237182203	0.7399816703	3.907732861
36	5.145406794	0.7490148488	3.838246143
37	5.056445186	0.7576186475	3.77063221
38	4.968450939	0.765981275	3.704257861
39	4.882123999	0.7740427874	3.639240597
40	4.798287225	0.7817365178	3.575837616
41	4.716062214	0.789152892	3.513804522
42	4.635392021	0.796304453	3.453304451
43	4.556736014	0.8031586496	3.39382941
44	4.48009021	0.8097248316	3.335679619
45	4.404995843	0.8160500801	3.279277373
46	4.331287054	0.8221546428	3.224091702
47	4.259714123	0.8279837384	3.170315013
48	4.189555226	0.8336034044	3.117357669
49	4.120834534	0.8390173952	3.065621895
50	4.053989894	0.8441976798	3.015286212
51	3.988119884	0.8492195598	2.965910906
52	3.924280526	0.8540081245	2.917996923
53	3.861616935	0.8586333463	2.870764929
54	3.800708672	0.8630576549	2.824914724
55	3.741503053	0.867290869	2.780158982
56	3.683741623	0.8713567748	2.73659813
57	3.626489256	0.8753244228	2.693793122
58	3.571177148	0.8790985847	2.652138896
59	3.51699079	0.8827396842	2.61155931
60	3.46445269	0.8862168724	2.571980527
61	3.412957812	0.8895742298	2.5332344
62	3.362582643	0.8928099358	2.495507058
63	3.31348691	0.8959171643	2.458582269
64	3.265623455	0.8989024082	2.422631386
65	3.219426164	0.9017425395	2.387657622
66	3.174104798	0.9044894996	2.353624476
67	3.130326396	0.9071059615	2.320665798
68	3.087025175	0.9096581583	2.288172478
69	3.045107507	0.9120949436	2.256406172
70	3.004853816	0.9144036404	2.225966555
71	2.965015596	0.9166582604	2.195900188
72	2.925930189	0.9188410318	2.166444335
73	2.88725345	0.9209724687	2.137438145
74	2.850255329	0.9229848563	2.109496665
75	2.814449797	0.9249076648	2.082292652
76	2.779368642	0.9267679985	2.055860226
77	2.745122508	0.9285615441	2.029745506
78	2.712338096	0.9302577033	2.004667263
79	2.680351448	0.931892948	1.980183914
80	2.648809254	0.9334864746	1.956070237
81	2.617992207	0.9350251484	1.932785098
82	2.588437186	0.936483895	1.910230369
83	2.559528846	0.9378947014	1.88822996
84	2.531621414	0.9392416294	1.866828805
85	2.504018573	0.940559331	1.845810106
86	2.477410537	0.9418158682	1.825445928
87	2.451325743	0.9430346658	1.805326674
88	2.425522611	0.9442276104	1.785576483
89	2.401023874	0.945348567	1.766759486
90	2.376784409	0.9464464608	1.748117982
91	2.353620702	0.9474852203	1.730331876
92	2.331202275	0.9484808708	1.712978033
93	2.309280434	0.9494452521	1.695997058
94	2.287964825	0.9503742271	1.679529703
95	2.267012559	0.9512789713	1.66326763
96	2.247006527	0.952135088	1.647819543
97	2.227756858	0.952951674	1.632724836
98	2.208611607	0.9537568619	1.617903966
99	2.18998937	0.9545333862	1.603360785
100	2.172197497	0.9552691434	1.589474158
101	2.154647751	0.9559890079	1.575909768
102	2.137669469	0.9566798745	1.562709548
103	2.121414375	0.9573361924	1.5497904
104	2.105554613	0.9579717199	1.537266059
105	2.089582547	0.9586069277	1.524683733
106	2.074044531	0.959220232	1.512343204
107	2.059584431	0.9597868774	1.500893045
108	2.045427774	0.9603377914	1.489685614
109	2.031380773	0.9608806822	1.478663521
110	2.018035245	0.9613929968	1.46801265
111	2.005470929	0.9618722358	1.457774241
112	1.993069781	0.9623423161	1.447819886
113	1.980710983	0.9628078901	1.437969653
114	1.968835997	0.9632525101	1.428279784
115	1.957285198	0.9636824268	1.418927175
116	1.946272692	0.9640899528	1.409980581
117	1.935611388	0.9644822918	1.401204916
118	1.92466732	0.9648827951	1.39241594
119	1.914732216	0.9652444083	1.384162659
120	1.904854549	0.9656020757	1.376037061
121	1.894817178	0.965963631	1.367970445
122	1.885196966	0.966308367	1.36024985
