iter	Passed	Remaining
0	190	380446
1	215	215385
2	234	156320
3	255	127653
4	276	110152
5	294	97773
6	313	89346
7	334	83304
8	354	78478
9	372	74219
10	394	71294
11	413	68425
12	432	66118
13	450	63898
14	469	62156
15	492	61057
16	513	59856
17	534	58908
18	558	58225
19	580	57430
20	602	56821
21	622	55930
22	638	54925
23	663	54616
24	684	54057
25	702	53304
26	720	52678
27	740	52169
28	760	51715
29	779	51199
30	802	50985
31	823	50629
32	843	50300
33	864	50008
34	887	49846
35	908	49553
36	929	49330
37	953	49240
38	972	48915
39	993	48682
40	1019	48716
41	1037	48373
42	1056	48088
43	1077	47911
44	1097	47694
45	1116	47407
46	1136	47206
47	1157	47081
48	1177	46869
49	1196	46678
50	1219	46596
51	1239	46441
52	1261	46332
53	1279	46095
54	1297	45875
55	1316	45709
56	1337	45593
57	1354	45366
58	1372	45160
59	1389	44940
60	1406	44720
61	1425	44552
62	1446	44486
63	1466	44356
64	1482	44146
65	1502	44021
66	1519	43829
67	1540	43758
68	1559	43655
69	1578	43533
70	1597	43396
71	1617	43321
72	1638	43264
73	1657	43148
74	1678	43084
75	1700	43057
76	1725	43090
77	1743	42962
78	1761	42824
79	1779	42697
80	1798	42612
81	1818	42534
82	1837	42449
83	1857	42362
84	1875	42259
85	1899	42267
86	1919	42208
87	1940	42155
88	1958	42046
89	1978	41984
90	2002	42002
91	2024	41985
92	2044	41915
93	2066	41906
94	2086	41840
95	2106	41786
96	2127	41738
97	2148	41692
98	2168	41645
99	2191	41633
100	2214	41640
101	2237	41636
102	2256	41562
103	2279	41558
104	2300	41511
105	2321	41481
106	2346	41507
107	2363	41408
108	2383	41348
109	2406	41347
110	2427	41316
111	2449	41293
112	2471	41270
113	2495	41288
114	2517	41264
115	2539	41249
116	2561	41227
117	2582	41194
118	2606	41206
119	2626	41147
120	2648	41133
121	2670	41110
122	2694	41111
123	2717	41107
124	2741	41125
125	2760	41057
126	2783	41049
127	2807	41061
128	2832	41076
129	2855	41074
130	2876	41046
131	2902	41077
132	2929	41121
133	2950	41091
134	2972	41070
135	2997	41087
136	3019	41064
137	3040	41025
138	3063	41015
139	3088	41031
140	3117	41103
141	3140	41091
142	3165	41106
143	3185	41054
144	3208	41045
145	3229	41012
146	3250	40977
147	3277	41009
148	3299	40991
149	3327	41039
150	3352	41050
151	3373	41015
152	3396	41006
153	3422	41024
154	3451	41086
155	3480	41136
156	3504	41140
157	3524	41094
158	3548	41084
159	3572	41086
160	3592	41029
161	3615	41019
162	3636	40986
163	3662	41001
164	3691	41053
165	3716	41060
166	3742	41072
167	3771	41127
168	3797	41140
169	3813	41053
170	3832	40994
171	3854	40963
172	3884	41021
173	3908	41020
174	3929	40983
175	3957	41009
176	3981	41006
177	4013	41079
178	4030	41005
179	4056	41016
180	4079	41002
181	4108	41038
182	4129	41002
183	4153	40993
184	4177	40987
185	4200	40966
186	4224	40957
187	4244	40912
188	4269	40909
189	4294	40906
190	4317	40896
191	4344	40912
192	4363	40851
193	4389	40859
194	4408	40811
195	4430	40780
196	4455	40778
197	4488	40848
198	4514	40854
199	4541	40872
200	4564	40851
201	4590	40858
202	4613	40843
203	4635	40810
204	4659	40797
205	4684	40795
206	4710	40798
207	4731	40763
208	4755	40751
209	4777	40725
210	4804	40737
211	4826	40705
212	4851	40698
213	4873	40673
214	4894	40635
215	4917	40616
216	4944	40627
217	4967	40607
218	4990	40584
219	5013	40567
220	5039	40564
221	5068	40590
222	5092	40577
223	5112	40536
224	5137	40530
225	5163	40531
226	5189	40531
227	5213	40521
228	5234	40479
229	5256	40450
230	5277	40416
231	5298	40378
232	5318	40336
233	5341	40312
234	5367	40312
235	5391	40297
236	5414	40280
237	5442	40289
238	5464	40261
239	5495	40303
240	5522	40305
241	5543	40269
242	5566	40246
243	5592	40248
244	5616	40231
245	5633	40170
246	5659	40167
247	5680	40129
248	5698	40069
249	5719	40038
250	5745	40036
251	5766	40002
252	5782	39930
253	5799	39865
254	5823	39853
255	5845	39824
256	5869	39808
257	5889	39766
258	5911	39734
259	5933	39710
260	5955	39681
261	5976	39643
262	5996	39606
263	6015	39556
264	6034	39508
265	6052	39455
266	6073	39420
267	6096	39401
268	6118	39374
269	6145	39379
270	6172	39381
271	6197	39370
272	6220	39349
273	6244	39333
274	6264	39297
275	6287	39273
276	6309	39248
277	6328	39200
278	6348	39160
279	6366	39108
280	6390	39091
281	6415	39084
282	6432	39027
283	6457	39019
284	6482	39006
285	6503	38972
286	6521	38926
287	6549	38935
288	6570	38897
289	6592	38871
290	6620	38883
291	6643	38860
292	6664	38824
293	6681	38770
294	6706	38760
295	6725	38718
296	6745	38679
297	6765	38641
298	6789	38625
299	6809	38585
300	6832	38568
301	6860	38571
302	6880	38534
303	6901	38502
304	6923	38474
305	6946	38454
306	6966	38417
307	6987	38386
308	7013	38382
309	7040	38383
310	7062	38356
311	7089	38356
312	7114	38348
313	7137	38323
314	7158	38290
315	7183	38281
316	7204	38251
317	7224	38213
318	7247	38189
319	7276	38199
320	7302	38194
321	7326	38178
322	7350	38162
323	7377	38160
324	7400	38138
325	7433	38168
326	7458	38161
327	7481	38137
328	7510	38148
329	7537	38143
330	7558	38110
331	7586	38112
332	7608	38086
333	7629	38058
334	7659	38068
335	7684	38056
336	7701	38004
337	7730	38013
338	7753	37990
339	7778	37976
340	7801	37957
341	7825	37939
342	7848	37917
343	7872	37896
344	7892	37860
345	7914	37834
346	7933	37793
347	7950	37742
348	7973	37721
349	7988	37662
350	8012	37642
351	8042	37653
352	8066	37635
353	8089	37613
354	8116	37611
355	8142	37600
356	8159	37551
357	8182	37528
358	8198	37476
359	8218	37438
360	8232	37378
361	8253	37345
362	8272	37305
363	8292	37271
364	8315	37247
365	8342	37243
366	8362	37207
367	8377	37154
368	8396	37114
369	8415	37072
370	8429	37010
371	8455	37002
372	8480	36992
373	8515	37021
374	8544	37026
375	8567	37003
376	8585	36960
377	8614	36965
378	8635	36936
379	8662	36931
380	8679	36882
381	8703	36864
382	8730	36858
383	8756	36850
384	8789	36871
385	8812	36847
386	8838	36836
387	8866	36835
388	8881	36783
389	8904	36758
390	8928	36741
391	8946	36698
392	8967	36667
393	8993	36658
394	9014	36628
395	9046	36643
396	9069	36619
397	9092	36599
398	9114	36570
399	9135	36543
400	9157	36516
401	9184	36508
402	9213	36511
403	9228	36456
404	9250	36432
405	9275	36416
406	9297	36392
407	9322	36374
408	9335	36313
