iter	RMSE	R2	MAE
0	10.47796044	0.07266964434	7.970714523
5	8.717319938	0.358130193	6.54163924
10	7.279153707	0.5524487942	5.384469748
15	6.104513502	0.6852374459	4.448493187
20	5.146286705	0.7762985074	3.69330408
25	4.372134968	0.8385388291	3.088277793
30	3.748166562	0.8813360708	2.607795366
35	3.244222005	0.9110999421	2.22980426
40	2.843872139	0.9316873625	1.935219083
45	2.528712759	0.9459892818	1.708722322
50	2.277275515	0.9561961702	1.534479991
55	2.082478834	0.9633695687	1.402426771
60	1.931148011	0.9684998887	1.302800697
65	1.813904755	0.9722086335	1.228188894
70	1.723528594	0.9749090031	1.171851037
75	1.653682028	0.9769014385	1.129437036
80	1.599751613	0.9783834642	1.097527318
85	1.556884912	0.9795264115	1.072970883
90	1.523838521	0.980386331	1.054103805
95	1.497592035	0.981056163	1.039440285
100	1.475500759	0.9816109274	1.026925038
105	1.458290226	0.9820374154	1.017279174
110	1.44383159	0.9823918394	1.009212308
115	1.431020075	0.9827029363	1.001934517
120	1.419537079	0.9829794157	0.9953560995
125	1.41013484	0.9832041389	0.9896634566
130	1.402145079	0.9833939312	0.9850162692
135	1.395079737	0.983560861	0.9808232082
140	1.389196648	0.9836992181	0.9772476656
145	1.38345808	0.9838336108	0.9737243959
150	1.378014886	0.983960574	0.9702089723
155	1.372668139	0.9840848002	0.9668629847
160	1.367891885	0.9841953652	0.9637810116
165	1.363761704	0.9842906603	0.9611933503
170	1.359630986	0.9843856799	0.9584349807
175	1.355797719	0.9844736017	0.9557739467
180	1.352125721	0.9845575899	0.9533397107
185	1.348479815	0.9846407533	0.9508539441
190	1.345821176	0.9847012587	0.948946147
195	1.343546713	0.9847529275	0.9473775396
200	1.340512759	0.9848217086	0.9453431427
205	1.337210602	0.9848963962	0.9430463215
210	1.333505709	0.9849799722	0.9406175991
215	1.330154871	0.9850553622	0.9384299888
220	1.327021348	0.9851256905	0.9362491645
225	1.325058174	0.9851696691	0.9347328299
230	1.322221701	0.9852330937	0.9327175184
235	1.319178448	0.9853009933	0.9305859979
