iter	RMSE	R2	MAE
0	10.64904856	0.04529847585	8.111401869
5	9.524399043	0.236302882	7.174193663
10	8.528466759	0.3876666487	6.351683586
15	7.661553198	0.5058262525	5.633559587
20	6.894592238	0.5998128717	5.003750068
25	6.215352377	0.6747798402	4.451060809
30	5.615226385	0.7345513534	3.967608269
35	5.094856148	0.7814706187	3.546809049
40	4.637424421	0.8189495243	3.181942969
45	4.233564461	0.8491107301	2.866096452
50	3.874586639	0.8736146496	2.593300433
55	3.560147829	0.8932956723	2.359527895
60	3.2832605	0.9092479033	2.158726012
65	3.041433001	0.9221242069	1.987608278
70	2.831990817	0.9324804395	1.842750774
75	2.649345251	0.9409087585	1.718698894
80	2.489006477	0.9478447555	1.612967613
85	2.351080171	0.9534648754	1.524260293
90	2.232056606	0.9580572884	1.449750278
95	2.130597696	0.9617836771	1.387840441
100	2.039527139	0.9649809063	1.333863024
105	1.959643287	0.9676704292	1.287735535
110	1.890764483	0.9699031607	1.248438073
115	1.831850325	0.9717495094	1.215042874
120	1.780945493	0.9732977839	1.186743794
125	1.736730969	0.9746071743	1.162709452
130	1.697332706	0.9757461883	1.141972853
135	1.663053178	0.9767159645	1.12418569
140	1.632591045	0.9775611437	1.108797879
145	1.605187399	0.9783081111	1.095142704
150	1.581280185	0.9789494457	1.083361396
155	1.559477173	0.9795259389	1.072704536
160	1.540871692	0.9800115571	1.063656575
165	1.52391304	0.9804491161	1.055300883
170	1.508626533	0.980839389	1.047813683
175	1.494888989	0.9811867484	1.041044094
180	1.482263486	0.981503191	1.034822892
185	1.47079135	0.9817884022	1.029148168
190	1.46025443	0.9820484044	1.024001367
195	1.450343868	0.9822912491	1.019037362
200	1.441543551	0.9825055002	1.014570744
205	1.433223711	0.982706856	1.010179301
210	1.42581737	0.982885123	1.006357451
215	1.419198006	0.9830436634	1.002791557
220	1.412960408	0.9831923892	0.9994221367
225	1.407622941	0.9833191314	0.9964978302
230	1.40223892	0.983446494	0.9933437568
235	1.397004624	0.983569844	0.9903434268
240	1.392039123	0.9836864357	0.9874906906
245	1.38801907	0.9837805229	0.985089854
250	1.383656949	0.9838823082	0.9824309406
255	1.379722139	0.9839738487	0.9800377382
260	1.375815456	0.9840644789	0.9776828126
265	1.372482279	0.9841415975	0.9757155326
270	1.369514132	0.9842101138	0.973777835
275	1.366816351	0.9842722595	0.9720409581
280	1.363650131	0.984345041	0.9699488808
285	1.361325155	0.9843983807	0.9684021157
290	1.358635229	0.9844599738	0.9665966374
295	1.355790368	0.9845249836	0.9647525642
300	1.353180805	0.9845844969	0.962947404
305	1.350545553	0.9846444827	0.961178082
310	1.347973505	0.9847029147	0.9594163941
315	1.345510414	0.9847587667	0.9577409086
320	1.343060885	0.9848142108	0.955959075
325	1.341370129	0.9848524211	0.9547665559
330	1.339264508	0.9848999385	0.9532546746
335	1.336921948	0.9849527173	0.951646094
340	1.334604751	0.985004833	0.9499453734
345	1.332244208	0.9850578298	0.9482659647
350	1.329768488	0.9851133131	0.9465147738
355	1.327562366	0.9851626654	0.9448196727
360	1.325494606	0.9852088518	0.9431985806
365	1.323671597	0.9852495064	0.9418048166
370	1.320832428	0.9853127179	0.9398148462
375	1.318314608	0.9853686585	0.9379126686
380	1.316500181	0.9854089066	0.9365115887
385	1.314228866	0.9854592107	0.9347513852
390	1.312147974	0.9855052193	0.9331955014
395	1.309217449	0.9855698939	0.9311151935
400	1.307234836	0.9856135626	0.9295157315
405	1.304926067	0.9856643338	0.9278978202
410	1.302809766	0.9857107976	0.9262364366
415	1.300580375	0.9857596596	0.9246176771
420	1.297873615	0.9858188712	0.9226474283
425	1.295165373	0.9858779937	0.920724999
430	1.292760743	0.9859303826	0.9189742322
435	1.290132708	0.9859875292	0.9170463953
440	1.287588619	0.9860427361	0.9152340251
445	1.285411234	0.986089904	0.9137098443
450	1.283566073	0.986129808	0.9124037672
455	1.281012957	0.9861849313	0.9106225698
460	1.279761975	0.9862119015	0.9096124223
465	1.277573243	0.9862590224	0.9080287587
470	1.274605567	0.9863227867	0.9058399821
475	1.272561617	0.9863666166	0.9043521696
480	1.27041594	0.986412555	0.9027821839
485	1.26755067	0.9864737751	0.9006278671
490	1.265525278	0.9865169665	0.899141539
495	1.263979788	0.9865498768	0.8979306768
500	1.261195151	0.9866090754	0.8959621244
505	1.259276536	0.9866497845	0.8944789772
510	1.256691749	0.9867045361	0.892638297
515	1.254344725	0.9867541501	0.8910268536
520	1.252155851	0.9868003389	0.8894024745
525	1.249479878	0.9868566974	0.8874571957
530	1.247305206	0.9869024077	0.8858121408
535	1.245140489	0.9869478321	0.8841503861
540	1.24246784	0.9870038031	0.8822060616
545	1.239822057	0.9870590936	0.8803137448
550	1.236119313	0.9871362729	0.8778677395
555	1.23392131	0.9871819823	0.8762148914
560	1.231845403	0.9872250735	0.8746629838
565	1.229349868	0.9872767807	0.872852416
570	1.226926605	0.9873268899	0.8710847375
575	1.224714484	0.9873725489	0.8694796028
580	1.222253534	0.9874232452	0.8676823419
585	1.219727509	0.987475176	0.8658046572
590	1.217110827	0.9875288578	0.8640230356
595	1.214241106	0.9875875955	0.862018115
600	1.211332375	0.9876469947	0.8600658913
605	1.208860146	0.9876973653	0.8582555886
610	1.206533442	0.9877446771	0.8566279756
615	1.20476343	0.9877806116	0.8552594999
620	1.201796956	0.9878407099	0.8531220948
625	1.199301048	0.987891164	0.8513068087
630	1.197617561	0.9879251352	0.8499444297
635	1.195350581	0.987970803	0.8483529729
640	1.192841318	0.9880212531	0.8464171838
645	1.190455073	0.9880691332	0.8446264437
650	1.188172821	0.9881148355	0.842971422
655	1.185286129	0.9881725162	0.8409305041
