iter	Passed	Remaining
0	2308	4614948
1	2326	2324020
2	2344	1560859
3	2364	1179749
4	2384	951465
5	2402	798575
6	2420	689113
7	2438	607204
8	2454	543032
9	2472	491964
10	2491	450471
11	2507	415451
12	2525	385976
13	2542	360632
14	2559	338692
15	2576	319466
16	2593	302499
17	2609	287287
18	2626	273821
19	2643	261751
20	2661	250829
21	2678	240808
22	2695	231656
23	2711	223275
24	2730	215703
25	2748	208693
26	2765	202095
27	2782	195936
28	2801	190396
29	2820	185234
30	2839	180366
31	2856	175688
32	2874	171341
33	2892	167243
34	2907	163226
35	2925	159591
36	2941	156040
37	2958	152733
38	2974	149546
39	2990	146524
40	3008	143732
41	3025	141023
42	3040	138393
43	3056	135874
44	3071	133424
45	3086	131120
46	3102	128899
47	3116	126757
48	3131	124699
49	3147	122765
50	3163	120901
51	3177	119049
52	3193	117298
53	3207	115590
54	3224	114015
55	3239	112460
56	3254	110926
57	3270	109496
58	3286	108119
59	3300	106722
60	3316	105409
61	3330	104115
62	3344	102816
63	3359	101623
64	3375	100495
65	3391	99371
66	3405	98247
67	3418	97138
68	3432	96072
69	3447	95055
70	3461	94042
71	3474	93044
72	3488	92076
73	3502	91154
74	3515	90238
75	3529	89352
76	3542	88475
77	3555	87618
78	3568	86761
79	3582	85983
80	3596	85206
81	3608	84405
82	3621	83646
83	3633	82887
84	3646	82148
85	3659	81443
86	3672	80749
87	3685	80078
88	3698	79418
89	3712	78784
90	3726	78183
91	3739	77559
92	3752	76950
93	3764	76339
94	3776	75738
95	3790	75170
96	3804	74635
97	3816	74076
98	3829	73534
99	3842	73011
100	3856	72502
101	3869	72001
102	3881	71493
103	3893	70988
104	3906	70502
105	3919	70042
106	3932	69565
107	3943	69086
108	3955	68619
109	3966	68158
110	3979	67719
111	3990	67274
112	4001	66827
113	4015	66425
114	4026	66001
115	4038	65597
116	4053	65236
117	4064	64829
118	4076	64428
119	4087	64037
120	4098	63652
121	4110	63279
122	4121	62901
123	4132	62520
124	4142	62135
125	4155	61805
126	4166	61446
127	4176	61085
128	4187	60730
129	4197	60375
130	4208	60039
131	4218	59703
132	4230	59388
133	4240	59055
134	4250	58722
135	4261	58403
136	4271	58084
137	4281	57764
138	4292	57468
139	4302	57158
140	4312	56861
141	4322	56551
142	4332	56259
143	4342	55970
144	4352	55687
145	4363	55408
146	4373	55126
147	4383	54855
148	4394	54592
149	4404	54318
150	4414	54060
151	4425	53808
152	4435	53546
153	4445	53286
154	4455	53032
155	4465	52786
156	4475	52533
157	4485	52298
158	4495	52050
159	4504	51806
160	4515	51576
161	4524	51335
162	4534	51104
163	4543	50868
164	4553	50643
165	4564	50433
166	4574	50204
167	4584	49989
168	4593	49770
169	4603	49550
170	4613	49342
171	4624	49143
172	4633	48931
173	4642	48724
174	4652	48515
