iter	RMSE	R2	MAE
0	2.855493648	0.07971392279	2.068728505
5	2.328152304	0.388236875	1.661287935
10	1.905144522	0.590346768	1.33613314
15	1.564710366	0.7236697314	1.076557094
20	1.290616522	0.81200126	0.869451943
25	1.072537168	0.8701669577	0.7054824362
30	0.8987271419	0.9088374952	0.575746273
35	0.7619543362	0.9344732922	0.4740492171
40	0.654072532	0.9517149912	0.3947150644
45	0.5695953105	0.9633821072	0.3332988855
50	0.504906177	0.9712272135	0.2865487344
55	0.4559296387	0.9765384811	0.2512680109
60	0.418770118	0.9802069879	0.2250979646
65	0.3904472965	0.9827937857	0.2057230708
70	0.369481013	0.9845920522	0.1916427015
75	0.3534912126	0.9858967994	0.1814670538
80	0.3409633797	0.9868787273	0.1740032783
85	0.3317598411	0.9875775241	0.1686227592
90	0.3244474874	0.9881190984	0.164451433
95	0.3182140448	0.9885712373	0.1613057938
100	0.3132440251	0.9889254494	0.1588434855
105	0.3089882508	0.9892243244	0.1568148371
110	0.3053290367	0.98947804	0.1551978068
115	0.3021294559	0.9896974043	0.1537459145
120	0.2996328599	0.9898669681	0.1526046833
125	0.2971004848	0.9900375259	0.151588958
130	0.2946608407	0.9902004673	0.1505467801
135	0.292802676	0.9903236725	0.1498136811
140	0.2910080961	0.9904419212	0.1490980519
145	0.2895652996	0.9905364621	0.1485131173
150	0.2883067974	0.9906185445	0.148021511
155	0.2869062512	0.9907094695	0.1473701833
160	0.2857723103	0.9907827616	0.1469288545
165	0.2844628611	0.9908670377	0.146296954
170	0.2835057663	0.9909283921	0.1458997219
175	0.2825085687	0.9909920958	0.1454682609
180	0.2815065766	0.9910558805	0.145010964
185	0.2804978147	0.9911198666	0.1445195454
190	0.2796500734	0.9911734628	0.144068979
195	0.2788843188	0.9912217341	0.1437076248
200	0.278147307	0.9912680696	0.1433196035
205	0.2775032905	0.9913084589	0.1429340089
210	0.27685642	0.9913489314	0.1426004348
215	0.2762461485	0.99138703	0.1422395231
220	0.2755867921	0.9914280955	0.1418390866
225	0.2749667303	0.9914666254	0.1414308203
230	0.274337973	0.9915056073	0.1410048831
