iter	Passed	Remaining
0	58	117783
1	69	69832
2	80	53602
3	91	45533
4	102	40935
5	114	38159
6	125	35625
7	137	34120
8	147	32564
9	156	31217
10	167	30225
11	176	29306
12	186	28521
13	196	27847
14	206	27278
15	216	26837
16	226	26373
17	235	25946
18	245	25559
19	257	25498
20	268	25312
21	279	25145
22	289	24910
23	299	24661
24	309	24483
25	320	24349
26	330	24154
27	340	23986
28	350	23811
29	362	23833
30	374	23770
31	387	23824
32	396	23662
33	406	23507
34	416	23371
35	426	23258
36	437	23217
37	447	23113
38	456	22972
39	467	22907
40	478	22861
41	487	22749
42	498	22669
43	508	22600
44	517	22488
45	527	22421
46	538	22364
47	548	22285
48	557	22214
49	567	22122
50	578	22116
51	589	22079
52	598	21997
53	608	21911
54	617	21827
55	627	21768
56	636	21687
57	645	21618
58	657	21630
59	667	21568
60	676	21517
61	686	21462
62	696	21414
63	705	21339
64	714	21269
65	725	21244
66	734	21191
67	743	21123
68	755	21143
69	767	21153
70	778	21156
71	788	21117
72	797	21041
73	806	20986
74	815	20929
75	825	20892
76	833	20819
77	842	20753
78	852	20734
79	864	20746
80	877	20787
81	886	20731
82	894	20668
83	904	20625
84	912	20548
85	921	20503
86	929	20444
87	937	20377
88	945	20308
89	953	20242
90	962	20190
91	972	20179
92	980	20114
93	991	20096
94	999	20034
95	1007	19988
96	1016	19950
97	1025	19895
98	1032	19833
99	1040	19773
100	1049	19740
101	1060	19730
102	1068	19674
103	1077	19640
104	1086	19603
105	1094	19554
106	1104	19539
107	1112	19487
108	1120	19437
109	1128	19383
110	1137	19350
111	1145	19301
112	1153	19256
113	1160	19205
114	1169	19161
115	1177	19130
116	1184	19069
117	1192	19021
118	1200	18971
119	1207	18915
120	1215	18879
121	1223	18834
122	1231	18793
123	1238	18738
124	1245	18685
125	1254	18653
126	1261	18606
127	1269	18562
128	1276	18509
129	1283	18464
130	1292	18433
131	1298	18381
132	1305	18327
133	1312	18279
134	1319	18228
135	1329	18227
136	1337	18193
137	1345	18155
138	1353	18125
139	1361	18088
140	1369	18056
141	1375	18004
142	1382	17958
143	1390	17921
144	1396	17867
145	1405	17846
146	1412	17806
147	1419	17763
148	1426	17719
149	1433	17685
150	1442	17659
151	1450	17640
152	1457	17598
153	1464	17554
154	1471	17518
155	1479	17483
156	1486	17449
157	1493	17406
158	1499	17367
159	1505	17318
160	1511	17269
161	1520	17246
162	1527	17211
163	1533	17169
164	1540	17131
165	1547	17096
166	1554	17057
167	1560	17016
168	1566	16974
169	1573	16934
170	1580	16903
171	1586	16862
172	1593	16823
173	1600	16792
174	1607	16758
175	1614	16735
176	1621	16702
177	1628	16666
178	1635	16635
179	1642	16604
180	1649	16579
181	1656	16543
182	1663	16512
183	1669	16481
184	1676	16448
185	1684	16427
186	1691	16397
187	1697	16362
188	1705	16346
189	1712	16310
190	1719	16289
191	1726	16257
192	1732	16223
193	1753	16323
194	1760	16296
195	1768	16278
196	1774	16245
197	1781	16214
198	1788	16186
199	1794	16150
200	1801	16126
201	1809	16101
202	1816	16078
203	1823	16055
204	1831	16035
205	1838	16007
206	1844	15976
207	1851	15949
208	1857	15920
209	1864	15889
210	1872	15875
211	1879	15851
212	1887	15835
213	1894	15811
214	1901	15785
215	1907	15757
216	1915	15739
217	1923	15727
218	1931	15707
219	1937	15674
220	1944	15651
221	1950	15622
222	1956	15590
223	1963	15570
224	1970	15547
225	1978	15532
226	1987	15521
227	1994	15504
228	2001	15477
229	2008	15454
230	2016	15439
231	2022	15410
232	2030	15398
233	2037	15373
