cif_name,name,Di,Df,Dif,rho,VSA,GSA,VPOV,GPOV,POAV_vol_frac,PONAV_vol_frac,GPOAV,GPONAV,POAV,PONAV
MOF_net-apo_node1-N44_node2-orgN9_edge1-none,MOF_net-apo_node1-N44_node2-orgN9_edge1-none.cif,5.09352,2.42598,5.07979,2.01128,0.0,0.0,0.0978,0.048625751,0.0,0.0978,0.0,0.0486257,0.0,400.931
MOF_net-apo_node1-N46_node2-orgN9_edge1-none,MOF_net-apo_node1-N46_node2-orgN9_edge1-none.cif,5.09116,2.4123,5.08554,2.02283,0.0,0.0,0.096,0.047458264,0.0,0.096,0.0,0.0474583,0.0,392.361
MOF_net-apo_node1-N48_node2-orgN8_edge1-none,MOF_net-apo_node1-N48_node2-orgN8_edge1-none.cif,4.24434,2.11557,4.24434,2.03471,0.0,0.0,0.0506,0.024868409,0.0,0.0506,0.0,0.0248684,0.0,210.245
MOF_net-apo_node1-N48_node2-orgN9_edge1-none,MOF_net-apo_node1-N48_node2-orgN9_edge1-none.cif,5.06665,2.36928,5.03208,2.01321,0.0,0.0,0.0947,0.047039305,0.0,0.0947,0.0,0.0470394,0.0,384.548
MOF_net-bcg_node1-N76_edge1-none,MOF_net-bcg_node1-N76_edge1-none.cif,2.54829,1.03289,2.53916,1.9613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-bcg_node1-N77_edge1-none,MOF_net-bcg_node1-N77_edge1-none.cif,2.45098,1.11659,2.35448,1.99998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-bcg_node1-N9_edge1-none,MOF_net-bcg_node1-N9_edge1-none.cif,2.21547,1.69831,2.08044,2.384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-bcs_node1-N46_edge1-E10,MOF_net-bcs_node1-N46_edge1-E10.cif,5.92383,3.62324,5.71546,1.3331,0.0,0.0,0.1248,0.093616383,0.0,0.1248,0.0,0.0936161,0.0,3738.32
MOF_net-bcs_node1-N49_edge1-none,MOF_net-bcs_node1-N49_edge1-none.cif,2.94641,1.89225,2.88127,2.20101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-bcs_node1-N6_edge1-none,MOF_net-bcs_node1-N6_edge1-none.cif,3.723,2.62968,3.71214,2.01248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-bcu-b_node1-N76_node2-N77_edge1-none,MOF_net-bcu-b_node1-N76_node2-N77_edge1-none.cif,3.69072,1.75684,3.69072,1.75829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-bcu-b_node1-N77_node2-N31_edge1-none,MOF_net-bcu-b_node1-N77_node2-N31_edge1-none.cif,3.84964,2.71388,3.25399,1.79984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-bcu-b_node1-N77_node2-N76_edge1-none,MOF_net-bcu-b_node1-N77_node2-N76_edge1-none.cif,3.69037,1.75637,3.68646,1.75847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-bcu_node1-N76_edge1-E10,MOF_net-bcu_node1-N76_edge1-E10.cif,5.14428,3.72685,5.04664,1.07878,0.0,0.0,0.3258,0.302007824,0.0,0.3258,0.0,0.302008,0.0,1053.37
MOF_net-bcu_node1-N9_edge1-none,MOF_net-bcu_node1-N9_edge1-none.cif,3.71119,1.83192,3.71119,1.89785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-bsn_node1-N28_edge1-none,MOF_net-bsn_node1-N28_edge1-none.cif,3.68687,2.75948,3.53441,1.48301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-cab_node1-N0_edge1-none,MOF_net-cab_node1-N0_edge1-none.cif,6.87837,2.5036,3.45616,1.77764,0.0,0.0,0.1257,0.07071173,0.0,0.1257,0.0,0.0707115,0.0,298.785
MOF_net-cag_node1-N4_edge1-none,MOF_net-cag_node1-N4_edge1-none.cif,4.77015,2.98283,4.77015,1.39076,0.0,0.0,0.0497,0.035735857,0.0,0.0497,0.0,0.0357358,0.0,594.649
MOF_net-cbo_node1-N42_edge1-none,MOF_net-cbo_node1-N42_edge1-none.cif,6.57002,3.29905,6.56062,1.48819,0.0,0.0,0.1664,0.11181368,0.0,0.1664,0.0,0.111814,0.0,2077.09
MOF_net-cbo_node1-N4_edge1-none,MOF_net-cbo_node1-N4_edge1-none.cif,5.53377,2.89912,5.52607,1.27874,0.0,0.0,0.1561,0.122073291,0.0,0.1561,0.0,0.122073,0.0,3046.98
MOF_net-cds_node1-N54_edge1-none,MOF_net-cds_node1-N54_edge1-none.cif,5.91706,3.25388,5.8279,0.846574,0.0,0.0,0.3979,0.470012072,0.0,0.3979,0.0,0.470012,0.0,312.722
MOF_net-cds_node1-N57_edge1-none,MOF_net-cds_node1-N57_edge1-none.cif,4.36449,2.43579,4.36282,1.78543,0.0,0.0,0.2465,0.138061979,0.0,0.2465,0.0,0.138062,0.0,140.68
MOF_net-crb_node1-N42_edge1-none,MOF_net-crb_node1-N42_edge1-none.cif,7.26447,3.28089,7.26447,1.49019,0.0,0.0,0.2549,0.171052014,0.0,0.2549,0.0,0.171051,0.0,1059.17
MOF_net-crb_node1-N4_edge1-none,MOF_net-crb_node1-N4_edge1-none.cif,4.69265,2.77044,4.22526,1.37798,0.0,0.0,0.0511,0.037083267,0.0,0.0511,0.0,0.0370834,0.0,308.537
MOF_net-dag_node1-N61_node2-orgN9_edge1-none,MOF_net-dag_node1-N61_node2-orgN9_edge1-none.cif,5.32524,3.55177,5.32524,1.17849,0.0,0.0,0.2621,0.222403245,0.0,0.2621,0.0,0.222403,0.0,834.789
MOF_net-dia_node1-N42_edge1-none,MOF_net-dia_node1-N42_edge1-none.cif,5.02119,2.87213,5.02119,1.57351,0.0,0.0,0.1721,0.109373312,0.0,0.1721,0.0,0.109373,0.0,677.251
MOF_net-dmp_node1-N10_edge1-none,MOF_net-dmp_node1-N10_edge1-none.cif,5.50346,3.66208,5.50149,1.31392,0.0,0.0,0.2988,0.227411106,0.0,0.2988,0.0,0.22741,0.0,339.327
MOF_net-dmp_node1-N18_edge1-none,MOF_net-dmp_node1-N18_edge1-none.cif,2.91247,2.47625,2.91247,2.02395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-ecc_node1-N5_edge1-none,MOF_net-ecc_node1-N5_edge1-none.cif,5.36677,3.00322,4.95034,2.06704,0.0,0.0,0.0498,0.024092422,0.0,0.0498,0.0,0.0240924,0.0,434.265
MOF_net-ecc_node1-N76_edge1-none,MOF_net-ecc_node1-N76_edge1-none.cif,4.1789,3.38955,4.17685,1.57954,0.0,0.0,0.0217,0.013738177,0.0,0.0217,0.0,0.0137382,0.0,207.613
MOF_net-ech_node1-N76_edge1-none,MOF_net-ech_node1-N76_edge1-none.cif,7.93753,3.46738,7.93753,1.41295,0.0,0.0,0.1736,0.122863513,0.0,0.1736,0.0,0.122863,0.0,2475.63
MOF_net-ech_node1-N80_edge1-none,MOF_net-ech_node1-N80_edge1-none.cif,8.72753,2.50247,8.70284,1.72589,0.0,0.0,0.2458,0.142419274,0.0,0.2458,0.0,0.142419,0.0,3629.39
MOF_net-ecj_node1-N77_edge1-none,MOF_net-ecj_node1-N77_edge1-none.cif,4.32214,3.72451,4.3201,1.7725,0.0,0.0,0.02,0.011283498,0.0,0.02,0.0,0.0112835,0.0,151.571
MOF_net-ecm_node1-N76_edge1-none,MOF_net-ecm_node1-N76_edge1-none.cif,5.89254,3.4058,4.76324,1.57185,0.0,0.0,0.1603,0.101981741,0.0,0.1603,0.0,0.101982,0.0,684.96
MOF_net-ecv_node1-N80_edge1-none,MOF_net-ecv_node1-N80_edge1-none.cif,4.52494,2.50299,4.50522,1.86114,0.0,0.0,0.0829,0.044542592,0.0,0.0829,0.0,0.0445426,0.0,756.745
MOF_net-fcu_node1-N1_edge1-none,MOF_net-fcu_node1-N1_edge1-none.cif,7.45698,3.28511,7.45698,1.2025,0.0,0.0,0.2067,0.171891892,0.0,0.2067,0.0,0.171892,0.0,2585.29
MOF_net-fcu_node1-N27_edge1-E2,MOF_net-fcu_node1-N27_edge1-E2.cif,8.72276,3.65081,8.41218,1.51586,0.0,0.0,0.2968,0.195796446,0.0,0.2968,0.0,0.195797,0.0,3085.93
MOF_net-fcu_node1-N27_edge1-E3,MOF_net-fcu_node1-N27_edge1-E3.cif,11.66387,3.63366,11.66387,1.32675,0.0,0.0,0.4168,0.314151121,0.0,0.4168,0.0,0.314151,0.0,4224.35
MOF_net-fcu_node1-N27_edge1-none,MOF_net-fcu_node1-N27_edge1-none.cif,5.99308,2.63946,5.99306,2.74737,0.0,0.0,0.1593,0.057982725,0.0,0.1593,0.0,0.0579827,0.0,603.839
MOF_net-fcu_node1-N2_edge1-E2,MOF_net-fcu_node1-N2_edge1-E2.cif,7.51076,3.53787,7.51076,1.46209,0.0,0.0,0.2478,0.169483411,0.0,0.2478,0.0,0.169484,0.0,2260.95
MOF_net-fcu_node1-N2_edge1-E3,MOF_net-fcu_node1-N2_edge1-E3.cif,11.04585,3.2619,11.03243,1.24132,0.0,0.0,0.3905,0.314584475,0.0,0.3905,0.0,0.314583,0.0,3468.66
MOF_net-fcu_node1-N3_edge1-E3,MOF_net-fcu_node1-N3_edge1-E3.cif,7.39401,3.22079,7.39401,1.25506,0.0,0.0,0.2074,0.165251064,0.0,0.2074,0.0,0.165252,0.0,1362.63
MOF_net-fcu_node1-N3_edge1-E7,MOF_net-fcu_node1-N3_edge1-E7.cif,9.14909,3.42651,8.94913,0.917992,0.0,0.0,0.2692,0.293248743,0.0,0.2692,0.0,0.293249,0.0,3963.14
MOF_net-fcu_node1-N72_edge1-E2,MOF_net-fcu_node1-N72_edge1-E2.cif,8.13156,3.81925,7.4997,1.26295,0.0,0.0,0.3129,0.247753276,0.0,0.3129,0.0,0.247753,0.0,3166.53
MOF_net-fcu_node1-N72_edge1-none,MOF_net-fcu_node1-N72_edge1-none.cif,6.83853,1.92502,6.83634,2.02389,0.0,0.0,0.2734,0.135086393,0.0,0.2734,0.0,0.135086,0.0,1004.27
MOF_net-fcu_node1-N7_edge1-none,MOF_net-fcu_node1-N7_edge1-none.cif,5.31149,2.25642,5.31149,3.73257,0.0,0.0,0.1269,0.033998023,0.0,0.1269,0.0,0.033998,0.0,390.001
MOF_net-fcu_node1-N8_edge1-E3,MOF_net-fcu_node1-N8_edge1-E3.cif,11.49918,3.55145,11.48101,1.39878,0.0,0.0,0.4074,0.291253807,0.0,0.4074,0.0,0.291254,0.0,4012.84
MOF_net-fnu_node1-N0_edge1-none,MOF_net-fnu_node1-N0_edge1-none.cif,3.48495,2.65403,3.48495,1.4556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-fnu_node1-N85_edge1-none,MOF_net-fnu_node1-N85_edge1-none.cif,4.8863,3.69932,4.39001,1.10948,0.0,0.0,0.2038,0.183689656,0.0,0.2038,0.0,0.183689,0.0,657.363
MOF_net-fnu_node1-N86_edge1-none,MOF_net-fnu_node1-N86_edge1-none.cif,4.20701,3.29568,3.7748,1.10307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-ftw_node1-N24_node2-N27_edge1-none,MOF_net-ftw_node1-N24_node2-N27_edge1-none.cif,8.04493,3.72864,7.95414,1.62967,0.0,0.0,0.3145,0.192983856,0.0,0.3145,0.0,0.192984,0.0,777.108
MOF_net-ftw_node1-N27_node2-orgN1_edge1-none,MOF_net-ftw_node1-N27_node2-orgN1_edge1-none.cif,11.16261,2.49263,11.16261,1.29443,0.0,0.0,0.2816,0.217547492,0.0,0.2816,0.0,0.217547,0.0,1236.89
MOF_net-gar_node1-N29_node2-N43_edge1-none,MOF_net-gar_node1-N29_node2-N43_edge1-none.cif,6.05004,2.52422,5.97601,1.71099,0.0,0.0,0.1104,0.064524047,0.0,0.1104,0.0,0.0645242,0.0,2618.54
MOF_net-gar_node1-N29_node2-N45_edge1-none,MOF_net-gar_node1-N29_node2-N45_edge1-none.cif,6.03746,2.51709,6.00415,1.71524,0.0,0.0,0.1102,0.064247569,0.0,0.1102,0.0,0.0642474,0.0,2613.02
MOF_net-gar_node1-N29_node2-N48_edge1-none,MOF_net-gar_node1-N29_node2-N48_edge1-none.cif,5.96182,3.68366,5.62016,1.59877,0.0,0.0,0.1353,0.084627557,0.0,0.1353,0.0,0.0846274,0.0,3410.6
MOF_net-gar_node1-N55_node2-N45_edge1-none,MOF_net-gar_node1-N55_node2-N45_edge1-none.cif,5.69174,2.20547,5.69174,1.68398,0.0,0.0,0.0897,0.053266666,0.0,0.0897,0.0,0.0532665,0.0,2061.49
MOF_net-gar_node1-N55_node2-N46_edge1-none,MOF_net-gar_node1-N55_node2-N46_edge1-none.cif,5.73857,3.2195,5.73857,1.57102,0.0,0.0,0.1084,0.068999758,0.0,0.1084,0.0,0.069,0.0,2670.4
MOF_net-gar_node1-N78_node2-N48_edge1-none,MOF_net-gar_node1-N78_node2-N48_edge1-none.cif,6.0413,3.07752,5.14761,1.6971,0.0,0.0,0.1206,0.071062401,0.0,0.1206,0.0,0.0710624,0.0,2909.12
MOF_net-ghw_node1-N0_edge1-none,MOF_net-ghw_node1-N0_edge1-none.cif,2.53183,1.03475,1.84728,2.63188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-ghw_node1-N85_edge1-none,MOF_net-ghw_node1-N85_edge1-none.cif,2.98733,1.82959,2.91816,1.63474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-gsi_node1-N4_edge1-none,MOF_net-gsi_node1-N4_edge1-none.cif,4.34886,2.49501,4.33967,1.7917,0.0,0.0,0.0014,0.000781381,0.0,0.0014,0.0,0.00078138,0.0,13.0023
MOF_net-hcp_node1-N27_edge1-E10,MOF_net-hcp_node1-N27_edge1-E10.cif,6.01996,3.54258,5.57996,1.70136,0.0,0.0,0.2153,0.126545822,0.0,0.2153,0.0,0.126546,0.0,1002.27
MOF_net-hcp_node1-N27_edge1-none,MOF_net-hcp_node1-N27_edge1-none.cif,3.96011,2.16876,3.82398,3.01192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-hcp_node1-N72_edge1-E10,MOF_net-hcp_node1-N72_edge1-E10.cif,6.44954,3.28438,6.44954,1.40614,0.0,0.0,0.2002,0.142375581,0.0,0.2002,0.0,0.142376,0.0,915.515
MOF_net-hcp_node1-N72_edge1-E3,MOF_net-hcp_node1-N72_edge1-E3.cif,8.51648,3.66152,8.51648,1.15249,0.0,0.0,0.3819,0.33136947,0.0,0.3819,0.0,0.33137,0.0,1734.23
MOF_net-hcp_node1-N72_edge1-none,MOF_net-hcp_node1-N72_edge1-none.cif,5.77126,1.79514,3.10637,2.1971,0.0,0.0,0.0985,0.044831824,0.0,0.0985,0.0,0.0448318,0.0,166.646
MOF_net-hcp_node1-N7_edge1-none,MOF_net-hcp_node1-N7_edge1-none.cif,3.77919,1.84053,3.77915,4.06759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-hcp_node1-N8_edge1-E10,MOF_net-hcp_node1-N8_edge1-E10.cif,6.28034,3.33912,6.26627,1.78701,0.0,0.0,0.199,0.111359198,0.0,0.199,0.0,0.111359,0.0,900.415
MOF_net-hex_node1-N22_edge1-none,MOF_net-hex_node1-N22_edge1-none.cif,4.26695,3.30687,4.22838,1.59599,0.0,0.0,0.2088,0.130827887,0.0,0.2088,0.0,0.130828,0.0,135.087
MOF_net-hex_node1-N25_edge1-none,MOF_net-hex_node1-N25_edge1-none.cif,3.86507,3.0399,3.85742,1.67487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-hex_node1-N5_edge1-none,MOF_net-hex_node1-N5_edge1-none.cif,2.55299,1.82128,2.49351,2.08616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-hex_node1-N77_edge1-none,MOF_net-hex_node1-N77_edge1-none.cif,2.81931,1.7633,2.76856,1.74676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-hex_node1-N80_edge1-none,MOF_net-hex_node1-N80_edge1-none.cif,4.2082,3.33639,4.2058,1.77674,0.0,0.0,0.1786,0.100521179,0.0,0.1786,0.0,0.100521,0.0,106.736
