iter	RMSE	R2	MAE
0	0.354222881	0.06459720585	0.2777303341
5	0.3007094533	0.325876296	0.2325891223
10	0.2566254075	0.5090415367	0.1954065227
15	0.2205397394	0.6374072519	0.1649126424
20	0.1913812659	0.7269486881	0.1401007066
25	0.1674087689	0.7910694774	0.1198939528
30	0.14819293	0.8362805138	0.1035544156
35	0.1327344008	0.8686553466	0.09044844348
40	0.1203099403	0.8920933154	0.08002125417
45	0.1102288826	0.909419194	0.0717388364
50	0.1022628107	0.9220383727	0.06524501409
55	0.09597023236	0.9313376804	0.06015654808
60	0.0909143826	0.9383815791	0.0561944658
65	0.08686928852	0.9437428291	0.05312694762
70	0.08369295063	0.9477816486	0.05075918077
75	0.08118106091	0.9508690841	0.04895291983
80	0.07907638514	0.9533835806	0.04752504245
85	0.07738956438	0.955351155	0.04638828332
90	0.07598889637	0.9569527259	0.04547884567
95	0.07477165349	0.9583208022	0.04475118832
100	0.07378337393	0.9594152981	0.04415225071
105	0.07288584528	0.9603966637	0.043643249
110	0.07211858794	0.9612260712	0.04323012115
115	0.07142999148	0.9619629712	0.04289044386
120	0.07082732851	0.9626021063	0.04258433406
125	0.07029552744	0.9631615984	0.04234403068
130	0.06982102643	0.9636572447	0.04207952365
135	0.06941770711	0.9640758996	0.04189218304
140	0.06902709018	0.964479051	0.04169164811
145	0.06869629337	0.9648186849	0.04153503583
150	0.06837498348	0.9651470241	0.04138657349
155	0.06805853259	0.9654688852	0.04120473923
160	0.06777022667	0.9657608281	0.04105839783
165	0.06748072648	0.9660527315	0.04092658603
170	0.06715782468	0.9663768294	0.04077830577
175	0.06691968204	0.9666148641	0.04066688736
180	0.06666550093	0.9668679953	0.04056005139
185	0.0663585404	0.967172403	0.04043987947
190	0.06607921087	0.9674481981	0.04033286816
195	0.06577359941	0.9677486025	0.04021104063
200	0.06543128627	0.968083428	0.04005190278
205	0.06520099201	0.9683076947	0.03997102049
210	0.06496443173	0.9685372516	0.03985296951
215	0.06469713357	0.9687956283	0.03975315051
220	0.06444004307	0.9690431304	0.03962698668
225	0.06423619345	0.969238678	0.03955142192
230	0.06396542063	0.9694974654	0.03944761393
235	0.06374760468	0.9697048477	0.03934583247
240	0.06352945992	0.9699118317	0.0392547164
245	0.06328545309	0.9701425157	0.0391647569
250	0.06306359444	0.9703514902	0.03904714427
255	0.06283241697	0.970568467	0.03895845935
260	0.06261897629	0.970768082	0.03884593495
