iter	Passed	Remaining
0	503	1006897
1	516	516188
2	529	352399
3	541	270455
4	554	221075
5	567	188621
6	579	164985
7	591	147198
8	602	133384
9	614	122356
10	628	113561
11	640	106090
12	652	99723
13	664	94261
14	676	89564
15	688	85424
16	701	81817
17	713	78521
18	725	75622
19	737	72967
20	749	70625
21	762	68595
22	774	66544
23	785	64660
24	796	62943
25	809	61439
26	820	59945
27	831	58549
28	842	57271
29	853	56077
30	867	55096
31	879	54066
32	890	53104
33	901	52152
34	912	51239
35	924	50436
36	935	49648
37	946	48892
38	957	48164
39	968	47467
40	980	46832
41	990	46182
42	1001	45564
43	1011	44951
44	1022	44416
45	1035	43965
46	1046	43475
47	1056	42983
48	1068	42556
49	1079	42094
50	1091	41705
51	1103	41328
52	1113	40915
53	1123	40499
54	1134	40119
55	1145	39757
56	1156	39417
57	1166	39053
58	1176	38703
59	1187	38383
60	1198	38092
61	1208	37775
62	1218	37457
63	1227	37133
64	1237	36846
65	1248	36577
66	1257	36271
67	1266	35990
68	1275	35698
69	1284	35429
70	1295	35200
71	1305	34946
72	1314	34702
73	1324	34462
74	1334	34240
75	1343	34020
76	1352	33774
77	1363	33588
78	1372	33362
79	1380	33138
80	1390	32944
81	1399	32725
82	1408	32523
83	1417	32334
84	1426	32142
85	1436	31972
86	1445	31788
87	1454	31602
88	1462	31409
89	1471	31219
90	1480	31051
91	1489	30881
92	1496	30689
93	1505	30533
94	1514	30371
95	1523	30222
96	1531	30054
97	1539	29883
98	1547	29720
99	1556	29573
100	1564	29420
101	1574	29294
102	1582	29153
103	1590	29004
104	1599	28858
105	1607	28725
106	1616	28590
107	1623	28446
108	1631	28296
109	1638	28155
110	1647	28034
111	1655	27915
112	1664	27793
113	1671	27649
114	1679	27521
115	1686	27397
116	1695	27279
117	1702	27145
118	1709	27017
119	1716	26891
120	1724	26780
121	1732	26665
122	1738	26532
123	1746	26417
124	1753	26296
125	1761	26198
126	1768	26081
127	1776	25978
128	1784	25879
129	1792	25780
130	1799	25674
131	1806	25567
132	1814	25464
133	1820	25355
134	1828	25253
135	1835	25155
136	1842	25056
137	1849	24954
138	1857	24873
139	1865	24782
140	1872	24694
141	1879	24588
142	1885	24491
143	1893	24404
144	1900	24312
145	1908	24233
146	1916	24163
147	1923	24067
148	1930	23978
149	1937	23890
150	1944	23812
151	1951	23728
152	1959	23653
153	1965	23562
154	1972	23479
155	1980	23414
156	1987	23332
157	1994	23258
158	2001	23173
159	2007	23083
160	2015	23017
161	2021	22939
162	2028	22861
163	2035	22790
164	2042	22710
165	2049	22639
166	2056	22574
167	2063	22497
168	2069	22423
169	2077	22361
170	2084	22295
171	2092	22237
172	2099	22168
173	2105	22099
174	2111	22024
175	2119	21970
176	2126	21901
177	2132	21832
178	2140	21777
179	2147	21711
180	2154	21650
181	2161	21592
182	2167	21523
183	2174	21458
184	2180	21394
185	2187	21338
186	2194	21274
187	2201	21219
188	2208	21163
189	2215	21103
190	2222	21049
191	2230	21000
192	2236	20943
193	2243	20887
194	2251	20837
195	2259	20795
196	2266	20745
197	2274	20699
198	2281	20647
199	2288	20597
200	2297	20560
201	2303	20503
202	2309	20448
203	2316	20394
204	2322	20336
205	2329	20287
206	2336	20235
207	2342	20181
208	2349	20130
209	2356	20087
210	2363	20042
211	2370	19996
212	2376	19940
213	2383	19892
214	2389	19838
215	2397	19799
216	2403	19744
217	2410	19707
218	2418	19668
219	2424	19616
220	2432	19581
221	2439	19534
222	2444	19482
223	2451	19435
224	2459	19399
225	2465	19355
226	2472	19310
227	2479	19269
228	2486	19228
229	2492	19180
230	2498	19136
231	2504	19089
232	2511	19048
233	2517	19000
234	2523	18951
235	2529	18908
236	2536	18865
237	2542	18824
238	2548	18781
239	2556	18747
240	2563	18710
241	2569	18669
242	2575	18622
243	2581	18579
244	2587	18536
245	2595	18506
246	2602	18469
247	2609	18436
248	2616	18398
249	2622	18360
250	2630	18326
251	2636	18288
252	2642	18245
253	2649	18213
254	2655	18170
255	2662	18135
256	2668	18098
257	2675	18062
258	2682	18030
259	2689	17997
260	2696	17967
