iter	Passed	Remaining
0	2532	5062528
1	2539	2536604
2	2545	1694745
3	2553	1274442
4	2561	1022171
5	2569	853769
6	2575	733419
7	2582	643077
8	2589	572813
9	2596	516626
10	2603	470758
11	2610	432403
12	2616	399958
13	2623	372161
14	2630	348055
15	2638	327134
16	2644	308493
17	2651	291947
18	2657	277108
19	2664	263765
20	2672	251810
21	2678	240816
22	2685	230819
23	2691	221617
24	2698	213174
25	2705	205429
26	2712	198178
27	2718	191483
28	2725	185229
29	2732	179416
30	2739	174001
31	2745	168873
32	2752	164055
33	2758	159522
34	2765	155248
35	2772	151260
36	2779	147454
37	2785	143824
38	2792	140405
39	2798	137134
40	2806	134090
41	2812	131128
42	2819	128303
43	2825	125604
44	2831	123019
45	2838	120588
46	2845	118225
47	2851	115956
48	2857	113785
49	2864	111702
50	2871	109723
51	2877	107799
52	2883	105943
53	2889	104146
54	2896	102418
55	2903	100783
56	2909	99164
57	2915	97607
58	2921	96108
59	2927	94651
60	2934	93264
61	2940	91902
62	2946	90596
63	2952	89303
64	2958	88062
65	2964	86882
66	2970	85709
67	2976	84576
68	2982	83480
69	2988	82409
70	2995	81392
71	3001	80378
72	3007	79394
73	3015	78477
74	3021	77548
75	3027	76655
76	3034	75775
77	3040	74916
78	3046	74087
79	3052	73264
80	3059	72489
81	3065	71706
82	3071	70944
83	3077	70197
84	3083	69472
85	3090	68784
86	3096	68084
87	3102	67402
88	3108	66743
89	3114	66095
90	3121	65481
91	3127	64863
92	3133	64263
93	3139	63663
94	3145	63080
95	3152	62533
96	3159	61985
97	3167	61472
98	3174	60965
99	3180	60437
100	3187	59939
101	3193	59430
102	3199	58929
103	3205	58438
104	3211	57957
105	3217	57495
106	3223	57026
107	3229	56573
108	3235	56126
109	3240	55682
110	3247	55262
111	3253	54838
112	3258	54420
113	3264	54005
114	3270	53603
115	3276	53222
116	3282	52831
117	3288	52442
118	3293	52065
119	3299	51698
120	3306	51347
121	3312	50986
122	3317	50630
123	3323	50286
124	3329	49941
125	3336	49624
126	3342	49288
127	3347	48957
128	3352	48630
129	3358	48310
130	3365	48016
131	3371	47705
132	3376	47399
133	3381	47094
134	3387	46797
135	3393	46513
136	3399	46225
137	3404	45940
138	3410	45660
139	3416	45384
140	3422	45126
141	3428	44854
142	3433	44586
143	3439	44327
144	3444	44065
145	3450	43818
146	3456	43566
147	3461	43313
148	3466	43069
149	3472	42824
150	3479	42604
151	3484	42366
152	3490	42131
153	3495	41898
154	3501	41676
155	3507	41456
156	3512	41238
157	3518	41019
158	3523	40802
159	3529	40589
