cif_name,Di,Df,Dif,rho_x,VSA,GSA,VPOV,GPOV,POAV_vol_frac,PONAV_vol_frac,GPOAV,GPONAV,POAV,PONAV,rho_y
MOF_net-anh_node1-N12_node2-orgN9_edge1-none,8.1506,5.41241,8.1506,0.99603,1898.35,1905.92,0.5089,0.510928386,0.5016,0.0073,0.503599,0.0073291,2248.56,32.7242,
MOF_net-anh_node1-N13_node2-orgN8_edge1-none,6.86577,5.19161,6.86577,1.75943,1242.02,705.92,0.3677,0.208988138,0.3677,0.0,0.208988,0.0,813.39,0.0,
MOF_net-anh_node1-N16_node2-orgN8_edge1-none,7.3326,4.53812,7.29905,1.10899,1492.11,1345.47,0.4193,0.378091777,0.4193,0.0,0.378093,0.0,1676.88,0.0,
MOF_net-anh_node1-N17_node2-orgN9_edge1-none,8.33934,5.57898,8.33934,0.886279,1977.91,2231.71,0.527,0.594620881,0.527,0.0,0.594621,0.0,2500.79,0.0,
MOF_net-anh_node1-N21_node2-orgN22_edge1-none,13.37647,11.56145,13.35707,0.67532,1898.99,2811.99,0.6843,1.0132974,0.6843,0.0,1.0133,0.0,4696.58,0.0,
MOF_net-anh_node1-N30_node2-orgN8_edge1-none,7.32242,4.43726,7.31619,1.11387,1547.64,1389.43,0.431,0.38693923,0.431,0.0,0.38694,0.0,1728.96,0.0,
MOF_net-anh_node1-N36_node2-orgN8_edge1-none,7.13085,4.38838,6.99035,1.17161,1506.34,1285.71,0.4173,0.356176543,0.4173,0.0,0.356178,0.0,1637.68,0.0,
MOF_net-anh_node1-N36_node2-orgN9_edge1-none,8.08047,5.49262,8.06389,0.970392,1890.9,1948.6,0.512,0.527621827,0.5046,0.0074,0.519996,0.00762578,2281.98,33.4654,
MOF_net-anh_node1-N58_node2-orgN11_edge1-none,13.16524,11.91977,13.12157,0.675289,1942.23,2876.15,0.7018,1.039258747,0.7018,0.0,1.03926,0.0,4832.11,0.0,
MOF_net-anh_node1-N58_node2-orgN3_edge1-none,13.19888,11.81082,13.17427,0.662094,1928.52,2912.76,0.6987,1.055288222,0.6987,0.0,1.05529,0.0,4885.66,0.0,
MOF_net-anh_node1-N69_node2-orgN8_edge1-none,6.79487,4.0763,6.62853,1.21263,1432.89,1181.64,0.4074,0.335963979,0.4074,0.0,0.335963,0.0,1562.3,0.0,
MOF_net-anh_node1-N69_node2-orgN9_edge1-none,7.95266,5.3446,7.95266,0.993147,1907.3,1920.46,0.522,0.52560195,0.522,0.0,0.525602,0.0,2334.07,0.0,
MOF_net-ant_node1-N52_node2-orgN8_edge1-none,6.47658,3.87184,6.47658,1.50126,1134.96,756.008,0.3551,0.236534644,0.3551,0.0,0.236535,0.0,1025.07,0.0,
MOF_net-apo_node1-N44_node2-orgN9_edge1-none,5.09352,2.42598,5.07979,2.01128,0.0,0.0,0.0978,0.048625751,0.0,0.0978,0.0,0.0486257,0.0,400.931,
MOF_net-apo_node1-N46_node2-orgN3_edge1-none,6.35541,3.91948,6.15086,1.29335,1068.45,826.112,0.2842,0.219739436,0.2842,0.0,0.21974,0.0,1892.64,0.0,
MOF_net-apo_node1-N46_node2-orgN9_edge1-none,5.09116,2.4123,5.08554,2.02283,0.0,0.0,0.096,0.047458264,0.0,0.096,0.0,0.0474583,0.0,392.361,
MOF_net-apo_node1-N48_node2-orgN8_edge1-none,4.24434,2.11557,4.24434,2.03471,0.0,0.0,0.0506,0.024868409,0.0,0.0506,0.0,0.0248684,0.0,210.245,
MOF_net-apo_node1-N48_node2-orgN9_edge1-none,5.06665,2.36928,5.03208,2.01321,0.0,0.0,0.0947,0.047039305,0.0,0.0947,0.0,0.0470394,0.0,384.548,
MOF_net-bcg_node1-N25_edge1-E2,4.77784,3.91541,4.75333,2.03319,166.092,81.69,0.1223,0.060151781,0.0514,0.0709,0.0252804,0.0348713,210.703,290.639,
MOF_net-bcg_node1-N34_edge1-E2,5.52971,4.02884,5.52971,1.71335,239.997,140.074,0.1496,0.087314326,0.0728,0.0768,0.0424898,0.0448244,354.137,373.595,
MOF_net-bcg_node1-N76_edge1-none,2.54829,1.03289,2.53916,1.9613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MOF_net-bcg_node1-N77_edge1-none,2.45098,1.11659,2.35448,1.99998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MOF_net-bcg_node1-N9_edge1-none,2.21547,1.69831,2.08044,2.384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MOF_net-bcs_node1-N20_edge1-E10,6.67563,4.60834,6.55368,1.34528,1319.65,980.947,0.2773,0.206128092,0.2758,0.0015,0.205013,0.00111501,5394.5,29.3392,
MOF_net-bcs_node1-N44_edge1-E2,6.51827,3.88995,6.46086,1.26802,782.826,617.36,0.1529,0.120581694,0.1413,0.0116,0.111434,0.00914811,4422.17,363.037,
MOF_net-bcs_node1-N46_edge1-E10,5.92383,3.62324,5.71546,1.3331,0.0,0.0,0.1248,0.093616383,0.0,0.1248,0.0,0.0936161,0.0,3738.32,
MOF_net-bcs_node1-N49_edge1-none,2.94641,1.89225,2.88127,2.20101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MOF_net-bcs_node1-N6_edge1-none,3.723,2.62968,3.71214,2.01248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MOF_net-bcu-b_node1-N76_node2-N77_edge1-E10,5.68148,3.7965,5.64893,1.07158,1183.04,1104.02,0.3555,0.331753112,0.3555,0.0,0.331754,0.0,1157.12,0.0,
MOF_net-bcu-b_node1-N76_node2-N77_edge1-none,3.69072,1.75684,3.69072,1.75829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MOF_net-bcu-b_node1-N77_node2-N31_edge1-none,3.84964,2.71388,3.25399,1.79984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MOF_net-bcu-b_node1-N77_node2-N76_edge1-E2,6.19092,4.2855,6.17775,1.04023,1274.49,1225.2,0.3571,0.343289465,0.3571,0.0,0.34329,0.0,1188.25,0.0,
MOF_net-bcu-b_node1-N77_node2-N76_edge1-none,3.69037,1.75637,3.68646,1.75847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MOF_net-bcu_node1-N9_edge1-none,3.71119,1.83192,3.71119,1.89785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MOF_net-bsn_node1-N28_edge1-none,3.68687,2.75948,3.53441,1.48301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MOF_net-cab_node1-N0_edge1-none,6.87837,2.5036,3.45616,1.77764,0.0,0.0,0.1257,0.07071173,0.0,0.1257,0.0,0.0707115,0.0,298.785,
