iter	RMSE	R2	MAE
0	0.1380046814	0.1558870228	0.1027894143
5	0.09231251071	0.6223112957	0.06570278033
10	0.06410917456	0.8178399042	0.04297450225
15	0.04725834522	0.9010148626	0.02951346379
20	0.037397332	0.9380139059	0.02198623786
25	0.03172302749	0.955397188	0.01790790446
30	0.02852022691	0.9639488699	0.01572533438
35	0.0266035473	0.9686316277	0.01452717793
40	0.0254399319	0.9713156625	0.01387281261
45	0.02464406661	0.9730823165	0.01346414072
50	0.02409378789	0.9742709916	0.01320468645
55	0.02369697749	0.9751114936	0.01302151816
60	0.02338804615	0.9757561949	0.01288376904
65	0.02314335935	0.9762608185	0.01277578369
70	0.02290802553	0.9767411506	0.01267050613
75	0.02267087579	0.9772202177	0.01257236779
80	0.02246857052	0.9776249587	0.01248582357
85	0.02221440122	0.9781283195	0.01237475188
90	0.02202811563	0.9784936029	0.01228963986
95	0.02176484222	0.9790046096	0.01216623115
100	0.02150559001	0.9795018024	0.01205615446
105	0.02132724614	0.9798403731	0.01198220019
110	0.02108972151	0.9802869131	0.01187301382
115	0.02088934589	0.9806597277	0.01178229109
120	0.02069590552	0.9810162573	0.01168674829
125	0.02050282747	0.9813688185	0.01160616738
130	0.02034253229	0.9816590008	0.0115302608
135	0.02015624689	0.9819933769	0.01144397287
140	0.019983767	0.9823002308	0.01136063392
145	0.01983496852	0.9825628333	0.01129117391
150	0.01969548523	0.9828072117	0.01122361429
155	0.01950146836	0.98314427	0.01112866281
160	0.01932195953	0.9834531528	0.0110385205
165	0.01912146204	0.9837947714	0.01093955131
170	0.01896900358	0.9840521541	0.01086351491
175	0.01879958077	0.9843357627	0.01077852098
180	0.01863909693	0.984602056	0.01069184359
185	0.01847736304	0.9848681188	0.01061676869
190	0.0183229315	0.9851200049	0.01053925654
195	0.01820571863	0.9853097706	0.01047740477
200	0.01806513404	0.985535771	0.01040526714
205	0.01790405621	0.9857925604	0.01032116352
210	0.0177818795	0.9859858011	0.01026396766
215	0.01762899786	0.9862257414	0.0101931567
220	0.01749525928	0.9864339407	0.01012647817
225	0.0173392017	0.9866748802	0.01004415098
230	0.01721612463	0.9868633771	0.009976731228
235	0.01708559922	0.9870618166	0.009909021687
240	0.01697351783	0.9872310086	0.009846075256
245	0.01684370664	0.9874255712	0.009782770356
250	0.01668872673	0.9876559002	0.009702967522
255	0.01653590957	0.9878809341	0.009629590322
260	0.01642046782	0.9880495556	0.009570621386
265	0.01634524326	0.9881588013	0.009530333861
270	0.01622374728	0.9883341803	0.009467789451
275	0.01613528621	0.9884610511	0.009420297376
280	0.01604752977	0.9885862258	0.009379235961
285	0.01591696035	0.9887712048	0.009311090059
290	0.01580752598	0.988925076	0.009253284471
295	0.01569471571	0.9890825848	0.009197439573
300	0.0156060919	0.9892055305	0.009150636796
305	0.01546498792	0.9893998446	0.009081342622
310	0.01535074996	0.9895558731	0.009027192912
315	0.01521348538	0.9897418185	0.008953723582
320	0.01511111884	0.9898794003	0.008907765049
325	0.01496638658	0.9900723408	0.008842940008
330	0.01486683901	0.9902039684	0.008793857437
335	0.0147403735	0.9903699197	0.008737116367
340	0.01464885381	0.9904891307	0.008688797637
345	0.01457131222	0.9905895539	0.008648402069
350	0.01447367188	0.990715245	0.008599101736
355	0.01439446121	0.9908165947	0.008554546089
360	0.01428898835	0.9909506801	0.00849987459
365	0.01422595445	0.9910303446	0.008464388702
370	0.01411675627	0.991167517	0.008407234724
375	0.01404397732	0.9912583549	0.008366427922
380	0.01395273324	0.9913715734	0.0083290785
385	0.01388742319	0.9914521625	0.008298072634
390	0.01380839406	0.9915491711	0.008258114264
395	0.01374169955	0.9916306093	0.008226705539
400	0.01364776023	0.9917446462	0.00818609556
405	0.01354385219	0.9918698716	0.008135535562
410	0.01348601078	0.9919391665	0.00810646861
