iter	Passed	Remaining
0	40	81652
1	51	51579
2	62	41413
3	73	36427
4	84	33615
5	96	31961
6	106	30329
7	116	28916
8	127	28176
9	137	27348
10	147	26693
11	157	26036
12	166	25440
13	175	24963
14	185	24531
15	195	24217
16	204	23831
17	213	23492
18	222	23183
19	231	22883
20	240	22705
21	251	22594
22	259	22343
23	268	22145
24	278	22016
25	292	22206
26	301	22043
27	309	21827
28	317	21608
29	325	21400
30	334	21275
31	342	21088
32	351	20923
33	358	20753
34	366	20586
35	375	20459
36	382	20313
37	390	20156
38	397	19993
39	404	19840
40	413	19740
41	420	19604
42	427	19468
43	434	19330
44	442	19210
45	450	19155
46	460	19140
47	467	18999
48	474	18889
49	481	18766
50	489	18711
51	496	18582
52	502	18457
53	508	18327
54	515	18225
55	522	18137
56	528	18028
57	535	17926
58	541	17818
59	547	17701
60	554	17617
61	560	17525
62	568	17477
63	576	17446
64	585	17416
65	592	17356
66	598	17267
67	604	17179
68	610	17074
69	616	16989
70	622	16920
71	628	16842
72	634	16749
73	640	16661
74	646	16582
75	652	16529
76	658	16457
77	664	16382
78	670	16299
79	676	16224
80	682	16166
81	688	16099
82	694	16029
83	699	15958
84	706	15925
85	714	15896
86	719	15831
87	725	15759
88	730	15690
89	736	15626
90	743	15597
91	750	15571
92	757	15534
93	763	15478
94	769	15424
95	777	15411
96	783	15364
97	789	15317
98	795	15277
99	802	15241
100	809	15210
101	815	15170
102	821	15132
103	827	15077
104	832	15023
105	838	14974
106	844	14948
107	851	14922
108	857	14868
109	863	14828
110	869	14801
111	876	14771
112	881	14722
113	887	14681
114	893	14646
115	900	14622
116	908	14614
117	914	14580
118	920	14543
119	925	14498
120	932	14475
121	938	14439
122	944	14406
123	951	14395
124	959	14386
125	966	14368
126	973	14351
127	978	14316
128	984	14274
129	990	14253
130	999	14256
131	1005	14222
132	1011	14201
133	1018	14178
134	1025	14165
135	1032	14151
136	1038	14128
137	1044	14099
138	1050	14069
139	1056	14042
140	1063	14016
141	1068	13986
142	1074	13948
143	1079	13913
144	1085	13887
145	1092	13871
146	1099	13857
147	1105	13829
148	1111	13802
149	1117	13778
150	1123	13754
151	1129	13732
152	1136	13719
153	1142	13690
154	1150	13698
155	1157	13678
156	1164	13668
157	1171	13658
158	1177	13635
159	1184	13618
160	1191	13612
161	1198	13599
162	1205	13589
163	1211	13566
164	1219	13561
165	1226	13555
166	1232	13533
167	1238	13508
168	1245	13494
169	1251	13470
170	1259	13472
171	1266	13460
172	1273	13443
173	1278	13420
174	1284	13397
175	1291	13383
176	1297	13359
177	1303	13344
178	1311	13340
179	1317	13320
180	1340	13475
181	1349	13475
182	1355	13456
183	1362	13443
184	1368	13427
185	1375	13411
186	1382	13401
187	1388	13386
188	1396	13379
189	1402	13359
190	1410	13361
191	1416	13343
192	1423	13325
193	1430	13315
194	1437	13301
195	1444	13293
196	1451	13288
197	1459	13281
198	1465	13262
199	1471	13243
200	1478	13233
201	1484	13213
202	1491	13199
203	1497	13180
204	1505	13182
205	1514	13188
206	1521	13174
207	1527	13162
208	1536	13170
209	1543	13156
210	1550	13146
211	1559	13151
212	1567	13149
213	1575	13150
214	1584	13152
215	1590	13137
216	1600	13152
217	1609	13153
218	1615	13139
219	1622	13131
220	1629	13119
221	1635	13100
222	1643	13099
223	1651	13093
224	1658	13085
225	1665	13069
226	1671	13053
227	1677	13039
228	1684	13025
229	1690	13011
230	1698	13006
231	1706	13004
232	1712	12986
233	1718	12966
234	1724	12951
235	1731	12945
236	1740	12949
237	1747	12937
238	1753	12920
239	1760	12910
240	1767	12901
241	1777	12911
242	1785	12906
243	1792	12896
244	1798	12883
245	1805	12873
246	1812	12861
247	1817	12842
248	1825	12834
249	1832	12827
250	1840	12822
251	1847	12817
252	1856	12818
253	1863	12812
254	1870	12801
255	1877	12787
256	1884	12783
257	1892	12778
258	1900	12776
259	1907	12762
260	1914	12756
261	1921	12747
262	1928	12734
263	1933	12716
264	1939	12701
265	1945	12684
266	1952	12672
267	1959	12661
268	1964	12642
269	1970	12626
270	1978	12621
271	1985	12611
272	1991	12595
273	1997	12583
274	2004	12572
275	2011	12562
276	2018	12554
277	2024	12541
278	2030	12525
279	2036	12510
280	2044	12505
281	2050	12493
282	2058	12486
283	2064	12472
284	2071	12463
285	2081	12472
286	2088	12465
287	2095	12456
288	2103	12451
289	2113	12461
290	2120	12453
291	2128	12449
292	2134	12434
293	2141	12425
294	2148	12415
295	2156	12414
296	2162	12398
297	2168	12384
298	2175	12375
299	2182	12366
300	2189	12356
301	2196	12350
302	2203	12339
303	2209	12329
304	2216	12318
305	2224	12313
306	2230	12301
307	2238	12295
308	2244	12281
309	2250	12271
310	2260	12274
311	2267	12268
312	2277	12276
313	2285	12269
314	2291	12260
315	2299	12254
316	2305	12241
317	2312	12229
318	2318	12219
319	2325	12211
320	2332	12201
321	2339	12192
322	2345	12178
323	2353	12171
324	2360	12165
325	2368	12160
326	2375	12153
327	2382	12146
328	2388	12130
329	2394	12117
330	2401	12110
331	2408	12100
332	2415	12091
333	2422	12083
334	2429	12072
335	2436	12065
336	2442	12051
337	2448	12038
338	2457	12041
339	2463	12027
340	2470	12017
341	2476	12007
342	2483	11995
343	2491	11994
344	2499	11990
345	2506	11981
346	2512	11969
347	2520	11963
348	2526	11950
349	2532	11938
350	2540	11934
351	2546	11923
352	2553	11913
353	2558	11897
354	2565	11886
355	2571	11875
356	2578	11865
357	2583	11851
358	2590	11841
359	2597	11831
360	2604	11824
361	2610	11811
362	2616	11797
363	2622	11786
364	2628	11774
365	2636	11769
366	2641	11753
367	2647	11743
368	2654	11734
369	2661	11727
370	2670	11726
371	2678	11721
372	2685	11714
373	2692	11705
374	2697	11690
375	2704	11681
376	2712	11675
377	2718	11666
378	2725	11655
379	2731	11644
380	2738	11635
381	2744	11626
382	2750	11612
383	2756	11600
384	2762	11588
385	2770	11582
386	2776	11571
387	2784	11566
388	2790	11557
389	2796	11544
390	2803	11534
391	2809	11525
392	2815	11512
393	2821	11500
394	2827	11490
395	2835	11485
396	2841	11472
397	2847	11463
398	2854	11453
399	2861	11447
400	2868	11439
401	2875	11431
402	2882	11422
403	2889	11415
404	2896	11406
405	2903	11400
406	2909	11389
407	2915	11377
