iter	RMSE	R2	MAE
0	10.61041618	0.02977321576	7.879819549
5	9.853940135	0.1631873171	7.18352646
10	9.167722327	0.2756786157	6.552167877
15	8.549104302	0.3701318416	5.992497492
20	7.982856705	0.4508068435	5.481261848
25	7.472145037	0.5188294935	5.025652307
30	7.004397833	0.5771853474	4.612983623
35	6.58306449	0.6265223339	4.241733726
40	6.192125113	0.6695636142	3.91120039
45	5.838535009	0.7062241048	3.614794692
50	5.511331468	0.738229047	3.350098231
55	5.210005842	0.7660706002	3.116649183
60	4.936980933	0.789945825	2.910726774
65	4.684364136	0.8108920711	2.727881837
70	4.45020003	0.8293259424	2.563242487
75	4.225055272	0.8461586118	2.413480761
80	4.019986278	0.8607300009	2.281120741
85	3.82804804	0.8737116688	2.15959234
90	3.64484643	0.885510172	2.050479741
95	3.472816725	0.8960625275	1.94982105
100	3.313163867	0.9053993213	1.859078235
105	3.157839086	0.9140613619	1.770949509
110	3.014898717	0.9216653585	1.691718399
115	2.879848967	0.9285260381	1.61889821
120	2.75024081	0.93481467	1.550822371
125	2.627401938	0.940507608	1.487028627
130	2.512437545	0.9455999942	1.428056733
135	2.406747215	0.9500805978	1.374298491
140	2.305567714	0.954189594	1.324958936
145	2.211674562	0.9578448256	1.279521605
150	2.122845775	0.9611630323	1.236572841
155	2.039968097	0.9641362925	1.197468357
160	1.962668967	0.9668027172	1.160536264
165	1.889019976	0.9692474222	1.125795398
170	1.819755694	0.9714612707	1.093101906
175	1.755379914	0.9734447336	1.062959166
180	1.696428649	0.9751984043	1.035125193
185	1.641118416	0.9767893007	1.008583599
190	1.58809336	0.9782649572	0.9833294225
195	1.539404921	0.9795772538	0.9603847328
200	1.492714161	0.9807973249	0.9378437092
205	1.44753725	0.9819420711	0.9163878748
210	1.407252559	0.9829331838	0.8968553307
215	1.36926623	0.9838421247	0.8781776383
220	1.333440536	0.9846765783	0.8604814689
225	1.299895394	0.9854378598	0.843420669
230	1.268535281	0.9861320107	0.8276251444
235	1.239208875	0.9867658075	0.8129051757
240	1.212100876	0.9873384777	0.7990394835
245	1.186190232	0.9878740118	0.7855542366
250	1.16197316	0.9883640825	0.7727957322
255	1.138676482	0.9888259881	0.7604466451
260	1.117246346	0.9892426255	0.7489486712
265	1.097546762	0.9896186339	0.7382962751
270	1.078398625	0.9899777086	0.7279065675
275	1.060659833	0.9903047128	0.7178272836
280	1.043719864	0.9906119312	0.7083735921
285	1.029077363	0.9908734964	0.6999744644
290	1.016020644	0.9911036158	0.6921675
295	1.00278028	0.9913339742	0.6840291197
300	0.9909579448	0.9915371063	0.6767927514
305	0.9794454648	0.9917325995	0.6697000924
310	0.9688063606	0.9919112315	0.6631407182
315	0.9585267309	0.9920819751	0.6565603519
320	0.9494949498	0.9922304883	0.6507057936
325	0.940692108	0.9923738839	0.6448754624
330	0.9321484077	0.9925117815	0.6391980426
335	0.9244297726	0.9926352788	0.6340498818
