iter	Passed	Remaining
0	14	28328
1	25	25642
2	36	24574
3	47	23940
4	59	23634
5	71	23766
6	82	23594
7	93	23383
8	106	23547
9	118	23483
10	130	23560
11	141	23384
12	152	23299
13	163	23219
14	175	23165
15	187	23216
16	198	23130
17	209	23055
18	220	22986
19	232	22973
20	244	23029
21	255	22954
22	267	22979
23	280	23074
24	291	23049
25	303	23052
26	314	22976
27	326	22962
28	337	22913
29	348	22872
30	360	22910
31	373	22998
32	385	22952
33	396	22947
34	407	22905
35	419	22895
36	430	22847
37	441	22802
38	452	22766
39	463	22713
40	475	22736
41	486	22682
42	497	22625
43	508	22583
44	519	22548
45	530	22544
46	542	22537
47	553	22509
48	564	22476
49	575	22451
50	587	22459
51	598	22423
52	610	22416
53	621	22398
54	632	22373
55	644	22380
56	658	22430
57	668	22395
58	679	22354
59	690	22327
60	702	22316
61	712	22286
62	723	22249
63	734	22227
64	745	22193
65	757	22197
66	768	22175
67	779	22151
68	790	22124
69	801	22102
70	812	22084
71	823	22060
72	834	22038
73	846	22020
74	857	21998
75	868	21991
76	879	21954
77	889	21916
78	900	21888
79	910	21863
80	922	21861
81	932	21816
82	943	21794
83	954	21767
84	967	21795
85	978	21780
86	989	21753
87	1000	21728
88	1010	21701
89	1021	21669
90	1033	21676
91	1042	21622
92	1053	21600
93	1065	21613
94	1076	21586
95	1086	21553
96	1097	21529
97	1107	21497
98	1117	21455
99	1127	21424
100	1138	21410
101	1148	21374
102	1159	21347
103	1168	21309
104	1178	21265
105	1188	21237
106	1198	21209
107	1208	21164
108	1217	21120
109	1226	21076
110	1237	21056
111	1248	21042
112	1258	21010
113	1267	20969
114	1276	20927
115	1286	20899
116	1295	20855
117	1305	20814
118	1314	20771
119	1323	20737
120	1335	20734
121	1344	20693
122	1353	20651
123	1363	20627
124	1372	20583
125	1381	20554
126	1391	20523
127	1400	20483
128	1410	20452
129	1419	20412
130	1428	20384
131	1439	20366
132	1448	20336
133	1457	20298
134	1466	20262
135	1476	20239
136	1486	20217
137	1496	20190
138	1505	20158
139	1514	20124
140	1524	20099
141	1533	20069
142	1542	20034
143	1551	19998
144	1561	19971
145	1570	19942
146	1579	19911
147	1588	19881
148	1597	19846
149	1606	19815
150	1616	19792
151	1625	19760
152	1634	19725
153	1642	19692
154	1652	19665
155	1661	19640
156	1670	19612
157	1679	19583
158	1689	19558
159	1698	19527
160	1707	19507
161	1716	19480
162	1725	19451
163	1735	19427
164	1744	19400
165	1754	19379
166	1763	19359
167	1772	19332
168	1781	19306
169	1791	19281
170	1800	19258
171	1808	19225
172	1817	19198
173	1826	19169
174	1835	19139
175	1845	19122
176	1853	19091
177	1862	19068
178	1872	19045
179	1880	19014
180	1890	18996
181	1900	18987
182	1909	18961
183	1918	18931
184	1926	18904
185	1936	18884
186	1945	18865
187	1954	18834
188	1963	18810
189	1971	18783
190	1981	18767
191	1990	18742
192	1998	18716
193	2007	18690
194	2016	18661
195	2025	18644
196	2034	18616
197	2042	18592
198	2052	18571
199	2060	18545
200	2070	18527
201	2078	18501
202	2086	18471
203	2095	18450
204	2104	18425
205	2113	18406
206	2122	18382
207	2131	18361
208	2139	18336
209	2148	18314
210	2157	18291
211	2165	18263
212	2173	18238
213	2181	18210
214	2190	18185
215	2199	18166
216	2208	18144
217	2216	18116
218	2225	18095
219	2233	18069
220	2242	18054
221	2251	18034
222	2260	18010
223	2268	17985
224	2276	17961
225	2285	17943
226	2294	17918
227	2302	17892
228	2310	17867
229	2318	17845
230	2327	17823
231	2335	17798
232	2343	17774
233	2351	17749
234	2359	17724
235	2368	17705
236	2377	17684
237	2386	17665
238	2394	17645
239	2402	17619
240	2411	17598
241	2419	17573
242	2426	17546
243	2434	17522
244	2442	17498
245	2451	17478
246	2459	17452
247	2466	17425
248	2475	17404
249	2482	17380
250	2491	17360
251	2499	17335
252	2506	17310
253	2514	17284
254	2522	17262
255	2531	17244
256	2539	17221
257	2548	17209
258	2556	17187
259	2564	17164
260	2573	17145
261	2581	17124
262	2589	17101
263	2598	17084
264	2607	17069
265	2615	17050
266	2623	17027
267	2632	17013
268	2640	16992
269	2648	16969
270	2657	16952
271	2664	16929
272	2672	16907
273	2680	16887
274	2688	16866
275	2697	16851
276	2705	16831
277	2713	16808
278	2721	16788
279	2729	16765
280	2737	16748
281	2745	16723
282	2752	16702
283	2760	16681
284	2768	16660
285	2777	16642
286	2784	16620
287	2792	16598
288	2799	16575
289	2807	16552
290	2815	16533
291	2822	16510
292	2830	16488
293	2837	16464
294	2845	16447
295	2854	16435
296	2862	16414
297	2870	16393
298	2878	16373
299	2885	16350
300	2892	16327
301	2899	16304
302	2907	16282
303	2914	16260
304	2921	16237
305	2930	16222
306	2937	16201
307	2944	16176
308	2951	16154
309	2959	16133
310	2967	16115
311	2974	16095
312	2981	16071
313	2988	16049
314	2996	16026
315	3004	16010
316	3011	15990
317	3018	15967
318	3026	15947
319	3033	15925
320	3041	15908
321	3049	15888
322	3056	15867
323	3063	15844
324	3070	15823
325	3078	15806
326	3085	15786
327	3092	15762
328	3099	15740
329	3105	15718
330	3113	15696
331	3120	15676
332	3127	15658
333	3134	15637
334	3142	15616
335	3149	15599
336	3158	15584
337	3165	15564
338	3171	15540
339	3178	15517
340	3185	15496
341	3192	15474
342	3200	15460
343	3207	15439
344	3213	15415
345	3220	15394
346	3227	15373
347	3234	15352
348	3240	15330
349	3248	15312
350	3255	15294
351	3262	15273
352	3269	15253
353	3276	15233
354	3282	15210
355	3290	15195
356	3297	15175
357	3303	15152
358	3310	15133
359	3317	15113
360	3325	15099
361	3332	15077
362	3338	15053
363	3344	15033
364	3351	15011
365	3358	14992
366	3364	14970
367	3371	14949
368	3377	14927
369	3383	14906
