iter	RMSE	R2	MAE
0	10.74546952	0.1378098735	8.096650931
5	7.456708772	0.5848102428	5.537327923
10	5.238875481	0.7950592088	3.82466591
15	3.766472978	0.8940692535	2.69462235
20	2.794836502	0.9416736128	1.961583941
25	2.180994304	0.9644809502	1.499255213
30	1.79849862	0.9758469233	1.217498815
35	1.569861377	0.9815975818	1.054421073
40	1.433506886	0.9846555326	0.959859356
45	1.346578458	0.9864600973	0.9029139866
50	1.29030186	0.9875681722	0.8686810281
55	1.251396142	0.9883065707	0.8459286459
60	1.221999461	0.9888494996	0.8306474989
65	1.197803197	0.9892866997	0.8178186136
70	1.179113027	0.9896184272	0.8083631248
75	1.164718035	0.9898703627	0.8012740604
80	1.153229352	0.9900692143	0.7956660869
85	1.141809615	0.9902649165	0.7906452444
90	1.132545261	0.9904222512	0.7869148389
95	1.122709437	0.9905878896	0.7825481293
100	1.114297583	0.9907284013	0.7786418793
105	1.107623033	0.9908391412	0.7752510134
110	1.099660514	0.9909703782	0.7710078838
115	1.093463978	0.9910718549	0.7678065216
120	1.086676785	0.9911823462	0.7648954538
125	1.081826818	0.9912608793	0.7620986202
130	1.074238484	0.9913830487	0.7580623919
135	1.069710036	0.9914555442	0.7552028696
140	1.064540986	0.9915379216	0.7520061084
145	1.05960748	0.991616173	0.7490937465
150	1.054513875	0.9916965825	0.7466914488
155	1.049739017	0.9917716082	0.743426679
160	1.045721608	0.9918344695	0.7408340867
165	1.042444475	0.9918855672	0.7381796685
170	1.03755023	0.9919615831	0.7346223757
175	1.032782946	0.992035281	0.7318545859
180	1.02920904	0.9920903094	0.7293504192
185	1.025233791	0.9921512942	0.7268919029
190	1.021207413	0.9922128197	0.7240044152
195	1.01672111	0.9922810906	0.7209057128
200	1.013265024	0.9923334781	0.7187784687
205	1.008730748	0.9924019378	0.7159062937
210	1.00583945	0.9924454323	0.7140743044
215	1.001745025	0.9925068115	0.711116939
220	0.9981781052	0.9925600781	0.7087853098
225	0.9940763513	0.9926210981	0.7062523149
230	0.9902191085	0.9926782504	0.7038595786
235	0.986990663	0.9927259151	0.7014752535
240	0.9844238936	0.9927636997	0.6998536882
245	0.9812406719	0.9928104225	0.6978996286
250	0.9786376289	0.9928485171	0.6960358637
255	0.9755589661	0.9928934417	0.6942221346
260	0.972696374	0.9929350862	0.6920381688
265	0.9697700318	0.9929775318	0.6903014346
270	0.9668662477	0.9930195237	0.6884589493
275	0.9625662581	0.9930814746	0.6856400453
280	0.9600349058	0.9931178149	0.6839966252
285	0.9559726878	0.9931759329	0.6810392598
290	0.9529463362	0.993219072	0.6792994343
295	0.949643036	0.9932660005	0.6767886536
300	0.9470742206	0.9933023828	0.6752049746
305	0.9449669054	0.9933321556	0.6739053356
310	0.9427751217	0.9933630503	0.6721811823
315	0.9405866382	0.9933938283	0.6705305731
320	0.9381260256	0.9934283468	0.6688372609
325	0.935559129	0.9934642599	0.6669634312
330	0.9319297752	0.9935148709	0.6645927654
335	0.9296245917	0.9935469135	0.6627845719
340	0.9269225945	0.9935843708	0.6607732155
345	0.9246339677	0.9936160137	0.6592873078
350	0.9215903568	0.9936579725	0.6573077989
355	0.9188667297	0.9936954028	0.6555645946
360	0.9162600414	0.9937311229	0.6536957973
365	0.9140108651	0.9937618619	0.6524435342
370	0.9112510149	0.9937994771	0.6503576272
375	0.9088463225	0.9938321586	0.6485963783
380	0.9069302566	0.9938581381	0.6470556899
385	0.9025168087	0.9939177694	0.644554255
390	0.9007373375	0.9939417304	0.643229598
395	0.8984593045	0.9939723356	0.6418355665
400	0.8960977449	0.9940039804	0.6403395223
405	0.8940091854	0.994031898	0.6390680643
410	0.8919420516	0.9940594648	0.6375221279
415	0.889316709	0.9940943844	0.6358554872
420	0.8870551369	0.9941243826	0.6341352159
425	0.8848755318	0.9941532213	0.6326270221
430	0.8821577342	0.9941890813	0.631048735
435	0.8803569957	0.9942127807	0.6297559974
440	0.8779668063	0.9942441634	0.6280306939
445	0.875535401	0.9942759993	0.626421278
450	0.8730317209	0.9943086888	0.6248373834
455	0.870319024	0.9943440022	0.622934438
460	0.8674203789	0.9943816144	0.6208667193
465	0.8655676783	0.9944055895	0.6196526302
470	0.8617160632	0.9944552659	0.616964639
475	0.859648716	0.9944818396	0.6154130951
480	0.8568625268	0.9945175516	0.6135424287
485	0.8548744367	0.9945429629	0.6121144649
490	0.8527653399	0.9945698559	0.6106125255
495	0.8508756608	0.994593895	0.6092616285
500	0.8490706411	0.9946168075	0.6079027515
505	0.8471762	0.9946408025	0.606502825
510	0.8457551875	0.994658766	0.6053936962
515	0.8433055455	0.9946896623	0.6037314407
520	0.8407150807	0.9947222368	0.6018979417
525	0.839189072	0.994741378	0.6007554556
530	0.837764037	0.9947592232	0.5997773115
535	0.83584612	0.9947831911	0.5985984128
540	0.8331855274	0.99481635	0.5969897518
545	0.8307373734	0.9948467675	0.5954107817
550	0.8286477431	0.9948726594	0.5940539896
555	0.8270227607	0.9948927493	0.592931561
560	0.8243568448	0.9949256225	0.5912365593
565	0.8226285295	0.9949468774	0.5900830021
570	0.8206133065	0.9949716044	0.5886744846
575	0.8180372388	0.9950031256	0.5867299506
580	0.8156260736	0.9950325393	0.5849037125
585	0.8142050055	0.9950498335	0.5839975669
590	0.8124675711	0.9950709374	0.5827882585
595	0.8108183634	0.9950909279	0.5815101147
600	0.8086575725	0.9951170575	0.5799108714
605	0.8067625117	0.995139917	0.5785771921
610	0.8054241717	0.9951560287	0.5774819022
615	0.8037016565	0.9951767253	0.576197504
620	0.8017023008	0.9952006926	0.5748048385
625	0.8001642425	0.9952190895	0.573596213
630	0.798386529	0.9952403098	0.5724866168
635	0.7970443169	0.9952562998	0.5713760502
640	0.7951415142	0.995278922	0.5697848946
645	0.7939308748	0.9952932874	0.5687983393
650	0.7926777116	0.9953081343	0.5677901449
655	0.7908846702	0.9953293366	0.566631052
660	0.7895121311	0.9953455337	0.5656074012
665	0.7874101494	0.995370285	0.5641147357
670	0.7858041401	0.9953891507	0.5630028391
675	0.7835529496	0.9954155319	0.5614006123
680	0.7823781331	0.9954292688	0.5605078024
685	0.7807951506	0.9954477459	0.5595790472
690	0.7790370971	0.9954682224	0.5582291207
695	0.7770782685	0.9954909836	0.5569605743
700	0.7754105325	0.9955103172	0.5557641343
705	0.7740185183	0.9955264227	0.5547437544
710	0.7729857263	0.9955383531	0.5538448338
715	0.7715761071	0.9955546108	0.552907955
