iter	RMSE	R2	MAE
0	11.06705847	0.08618062363	8.321890643
5	8.865085331	0.4136434701	6.53219263
10	7.136649575	0.6199990609	5.146063959
15	5.801461165	0.7488861187	4.080329742
20	4.77245237	0.8300664665	3.266648435
25	4.004330218	0.8803657078	2.654927787
30	3.412054473	0.9131383901	2.196797186
35	2.948973049	0.9351160116	1.853236114
40	2.593919733	0.9497993837	1.597645035
45	2.32088808	0.9598112664	1.413065377
50	2.109049088	0.9668128964	1.279759132
55	1.938240842	0.9719707538	1.18041568
60	1.807190362	0.9756329036	1.105450562
65	1.702029272	0.9783862616	1.050178519
70	1.616177787	0.9805116882	1.007429323
75	1.544344238	0.9822055685	0.9723022605
80	1.487177512	0.9834985706	0.945058726
85	1.438953931	0.9845513801	0.9237877225
90	1.398960348	0.9853981886	0.9061514379
95	1.362236191	0.9861547499	0.8908930802
100	1.332628996	0.9867500451	0.879115955
105	1.305526183	0.9872835144	0.868392531
110	1.283496685	0.9877090508	0.859682692
115	1.262536858	0.9881072011	0.8517070002
120	1.246242235	0.9884122035	0.8457217447
125	1.231939366	0.9886766586	0.8403216071
130	1.218449659	0.9889232826	0.8348695645
135	1.206685984	0.9891361311	0.8303846667
140	1.196481275	0.9893191018	0.826419682
145	1.18751913	0.9894785123	0.8230785644
150	1.178123067	0.9896443521	0.8190304742
155	1.170181098	0.9897835002	0.8155265961
160	1.162807294	0.9899118522	0.8122422002
165	1.156265793	0.9900250361	0.8091552878
170	1.149667562	0.9901385564	0.8060859887
175	1.143479155	0.9902444356	0.8030436485
180	1.13780286	0.9903410478	0.8000729834
185	1.132264785	0.9904348462	0.7973131016
190	1.127019369	0.9905232653	0.7945688919
195	1.12206809	0.990606351	0.7919810445
200	1.116931134	0.9906921652	0.7890832764
205	1.112505033	0.9907657864	0.7864870177
210	1.108449943	0.9908329808	0.7841458989
215	1.105031967	0.9908894281	0.7823458291
220	1.099301218	0.9909836791	0.778978687
225	1.094863139	0.9910563328	0.7763657497
230	1.0915544	0.9911103078	0.7743853062
235	1.089021947	0.9911515098	0.7728615122
240	1.086268986	0.9911961891	0.7712733041
245	1.082679141	0.9912542823	0.7691842339
250	1.079104468	0.9913119375	0.7670382263
255	1.076278584	0.991357381	0.7654022828
260	1.073009051	0.9914098108	0.7632876914
265	1.069624916	0.9914639105	0.7611761194
