iter	Passed	Remaining
0	6	12608
1	11	11397
2	16	10922
3	21	10756
4	26	10511
5	31	10591
6	36	10503
7	42	10464
8	46	10369
9	51	10303
10	57	10421
11	64	10734
12	69	10662
13	74	10632
14	79	10540
15	85	10581
16	90	10547
17	95	10511
18	100	10466
19	105	10485
20	111	10532
21	116	10495
22	121	10479
23	126	10447
24	131	10423
25	137	10438
26	142	10408
27	147	10386
28	152	10357
29	157	10317
30	162	10341
31	167	10327
32	172	10304
33	177	10281
34	182	10265
35	188	10299
36	193	10287
37	199	10313
38	205	10338
39	210	10329
40	216	10341
41	221	10333
42	226	10310
43	231	10309
44	237	10301
45	242	10321
46	248	10329
47	253	10308
48	258	10304
49	264	10300
50	269	10310
51	274	10299
52	280	10288
53	285	10276
54	289	10252
55	295	10262
56	300	10246
57	305	10234
58	310	10226
59	315	10206
60	321	10211
61	326	10191
62	331	10182
63	335	10163
64	340	10146
65	346	10145
66	350	10116
67	355	10104
68	360	10089
69	365	10073
70	371	10080
71	375	10065
72	380	10055
73	385	10040
74	390	10025
75	395	10012
76	400	9997
77	405	9986
78	410	9979
79	415	9964
80	420	9966
81	425	9947
82	430	9932
83	434	9920
84	439	9896
85	446	9934
86	451	9918
87	455	9897
88	460	9893
89	465	9884
90	471	9890
91	477	9898
92	481	9881
93	486	9872
94	491	9861
95	497	9861
96	502	9852
97	507	9849
98	513	9862
99	518	9848
100	523	9846
101	528	9827
102	532	9810
103	537	9800
104	542	9796
105	548	9802
106	553	9798
107	558	9782
108	563	9773
109	567	9757
110	572	9747
111	576	9725
112	581	9707
113	585	9694
114	590	9672
115	595	9670
116	599	9654
117	604	9634
118	608	9616
119	613	9604
120	618	9598
121	622	9580
122	626	9560
123	630	9545
124	635	9527
125	640	9525
126	644	9506
127	648	9487
128	652	9470
129	657	9456
130	662	9452
131	666	9437
132	670	9417
133	675	9403
134	679	9389
135	684	9382
136	688	9368
137	693	9350
138	697	9336
139	701	9324
140	706	9321
141	711	9308
142	715	9291
143	719	9276
144	723	9261
145	729	9257
146	733	9249
147	738	9236
148	742	9220
149	746	9206
150	751	9202
151	755	9189
152	759	9173
153	764	9158
154	768	9144
155	773	9138
156	777	9124
157	781	9109
158	785	9097
159	790	9086
160	795	9082
161	799	9068
162	803	9052
163	807	9038
164	811	9024
165	816	9020
166	820	9005
167	824	8993
168	828	8981
169	833	8971
170	837	8960
171	841	8944
172	845	8930
173	850	8921
174	856	8929
175	862	8942
176	867	8930
177	871	8919
178	875	8903
179	879	8892
180	884	8885
181	888	8871
182	892	8859
183	896	8846
184	900	8833
185	905	8830
186	909	8819
187	913	8805
188	917	8794
189	921	8782
190	927	8780
191	930	8765
192	935	8754
193	939	8745
194	943	8733
195	948	8728
196	952	8717
197	957	8711
198	963	8716
199	968	8714
200	973	8712
201	977	8700
202	981	8690
203	986	8683
204	990	8675
205	995	8670
206	999	8658
207	1003	8649
208	1007	8636
209	1012	8626
210	1017	8623
211	1021	8615
212	1025	8605
213	1029	8592
214	1034	8586
215	1039	8584
216	1043	8577
217	1048	8570
218	1052	8560
219	1057	8554
220	1064	8566
221	1071	8582
222	1076	8578
223	1080	8566
224	1084	8556
225	1089	8552
226	1093	8541
227	1097	8530
228	1101	8517
229	1105	8508
230	1110	8504
231	1114	8494
232	1118	8484
233	1123	8478
234	1127	8470
235	1132	8466
236	1137	8460
237	1141	8449
238	1145	8438
239	1149	8430
240	1154	8426
241	1158	8418
242	1162	8407
243	1167	8401
244	1171	8394
245	1176	8389
246	1180	8381
247	1185	8373
248	1189	8364
249	1194	8363
250	1200	8361
251	1204	8354
252	1208	8345
253	1213	8341
254	1218	8335
255	1222	8330
256	1226	8321
257	1231	8312
258	1235	8307
259	1239	8295
260	1244	8291
261	1248	8281
262	1252	8273
263	1256	8261
264	1261	8256
265	1266	8253
266	1270	8247
267	1275	8241
268	1278	8228
269	1282	8218
270	1287	8215
271	1291	8206
272	1295	8196
273	1299	8187
274	1304	8181
275	1309	8177
276	1313	8172
277	1319	8174
278	1323	8164
279	1327	8155
280	1332	8151
281	1336	8145
282	1341	8137
283	1345	8131
284	1349	8121
285	1354	8118
286	1359	8111
287	1363	8103
288	1367	8093
289	1371	8087
290	1376	8083
291	1380	8075
292	1385	8069
293	1389	8060
294	1393	8052
295	1398	8049
296	1402	8042
297	1406	8035
298	1410	8024
299	1415	8018
300	1419	8013
301	1423	8004
302	1427	7996
303	1431	7987
304	1435	7980
305	1441	7977
306	1445	7971
307	1449	7963
308	1453	7956
309	1458	7949
310	1463	7947
311	1468	7942
312	1471	7932
313	1475	7924
314	1480	7918
315	1485	7916
316	1489	7910
317	1493	7901
318	1498	7894
319	1502	7888
320	1507	7883
321	1512	7879
322	1515	7869
323	1519	7862
324	1524	7855
325	1529	7852
326	1533	7847
327	1537	7836
328	1541	7830
329	1545	7823
330	1550	7816
331	1553	7806
332	1558	7799
333	1562	7793
334	1566	7786
335	1571	7781
336	1575	7774
337	1579	7768
338	1584	7762
339	1588	7755
340	1593	7751
341	1597	7745
342	1602	7739
343	1606	7731
344	1610	7725
345	1615	7720
346	1619	7713
347	1623	7708
348	1628	7703
349	1632	7693
350	1637	7690
351	1641	7684
352	1645	7677
353	1649	7670
354	1653	7662
355	1659	7662
356	1663	7655
357	1667	7649
358	1672	7644
359	1676	7636
360	1680	7631
361	1685	7625
362	1689	7618
363	1693	7611
364	1697	7604
365	1704	7607
366	1710	7609
367	1714	7603
368	1718	7596
369	1722	7588
370	1727	7585
371	1731	7577
372	1737	7580
373	1741	7573
374	1746	7568
375	1750	7562
376	1754	7554
377	1759	7548
378	1763	7542
379	1767	7535
380	1772	7532
381	1777	7527
382	1780	7518
383	1784	7511
384	1788	7504
385	1794	7502
386	1798	7495
387	1802	7488
388	1806	7482
389	1811	7476
390	1816	7473
391	1820	7465
392	1824	7460
393	1828	7454
394	1833	7448
395	1837	7443
396	1841	7435
397	1845	7428
398	1849	7421
399	1853	7413
400	1858	7409
401	1864	7410
402	1868	7403
403	1872	7396
404	1876	7390
405	1880	7384
406	1885	7379
407	1889	7373
408	1894	7367
409	1898	7361
410	1902	7356
411	1907	7351
412	1911	7345
413	1917	7346
414	1922	7341
415	1927	7337
416	1931	7331
417	1935	7325
418	1941	7324
419	1945	7318
420	1950	7316
421	1955	7312
422	1960	7310
423	1966	7308
424	1970	7302
425	1976	7303
426	1981	7299
427	1985	7292
428	1989	7285
429	1993	7279
430	1999	7277
431	2003	7270
432	2006	7262
433	2011	7256
434	2016	7254
435	2021	7250
436	2025	7244
437	2029	7236
438	2033	7231
439	2037	7225
440	2043	7223
441	2047	7215
442	2050	7206
443	2055	7201
444	2059	7196
445	2064	7192
446	2070	7192
447	2075	7191
448	2080	7187
449	2085	7181
450	2089	7177
451	2094	7172
452	2098	7167
453	2103	7161
454	2107	7154
455	2112	7151
456	2116	7146
457	2121	7141
458	2125	7135
459	2129	7128
460	2136	7131
461	2140	7125
462	2144	7120
463	2149	7116
464	2155	7114
465	2160	7112
466	2165	7107
467	2170	7105
468	2176	7105
469	2181	7100
470	2186	7096
471	2190	7092
472	2194	7085
473	2199	7080
474	2203	7074
475	2209	7072
476	2213	7067
477	2218	7063
478	2222	7057
479	2227	7053
480	2232	7050
481	2237	7046
482	2241	7040
