iter	Passed	Remaining
0	3	7527
1	6	6448
2	9	6293
3	12	6215
4	14	5965
5	17	5960
6	20	5837
7	23	5751
8	25	5669
9	28	5627
10	31	5755
11	34	5715
12	36	5646
13	39	5609
14	42	5562
15	45	5657
16	48	5620
17	50	5589
18	53	5560
19	55	5531
20	59	5561
21	61	5548
22	64	5514
23	66	5491
24	69	5468
25	72	5499
26	75	5484
27	77	5464
28	80	5444
29	82	5429
30	86	5472
31	88	5463
32	91	5447
33	93	5432
34	96	5418
35	99	5437
36	102	5422
37	104	5409
38	107	5391
39	109	5379
40	112	5396
41	115	5384
42	118	5375
43	120	5368
44	123	5360
45	126	5374
46	129	5365
47	131	5351
48	134	5345
49	136	5336
50	140	5353
51	142	5343
52	145	5333
53	147	5324
54	150	5310
55	153	5318
56	155	5308
57	158	5297
58	160	5290
59	163	5280
60	166	5289
61	168	5277
62	171	5267
63	173	5257
64	176	5246
65	179	5258
66	182	5252
67	184	5241
68	187	5233
69	189	5224
70	192	5234
71	195	5225
72	197	5214
73	200	5208
74	202	5200
75	205	5208
76	208	5201
77	210	5193
78	213	5187
79	215	5179
80	219	5190
81	221	5185
82	224	5177
83	226	5170
84	229	5164
85	232	5171
86	234	5164
87	237	5158
88	239	5150
89	242	5141
90	245	5154
91	248	5146
92	250	5140
93	253	5133
94	255	5125
95	258	5128
96	261	5124
97	263	5120
98	266	5113
99	268	5105
100	271	5109
101	274	5103
102	276	5098
103	279	5093
104	281	5086
105	285	5101
106	288	5096
107	290	5089
108	293	5089
109	296	5087
110	299	5096
111	302	5092
112	304	5086
113	307	5080
114	309	5072
115	312	5076
116	315	5069
117	317	5062
118	319	5057
119	322	5052
120	325	5058
121	328	5054
122	331	5053
123	333	5050
124	336	5046
125	339	5052
126	342	5045
127	344	5039
128	347	5033
129	349	5027
130	352	5030
131	355	5025
132	357	5018
133	359	5012
134	362	5007
135	365	5009
136	368	5006
137	370	5003
138	373	4996
139	375	4989
140	378	4992
141	381	4986
142	383	4981
143	386	4976
144	388	4971
145	391	4974
146	394	4968
147	396	4962
148	399	4956
149	401	4952
150	404	4955
151	407	4950
152	409	4944
153	412	4939
154	414	4933
155	417	4936
156	420	4933
157	422	4928
158	425	4924
159	427	4919
160	431	4925
161	433	4921
162	436	4918
163	438	4913
164	441	4908
165	444	4910
166	446	4906
167	449	4901
168	451	4895
169	454	4889
170	457	4891
171	459	4888
172	462	4883
173	464	4878
174	467	4874
175	470	4877
176	473	4873
177	475	4868
178	478	4864
179	480	4860
180	483	4862
181	486	4862
182	490	4867
183	492	4864
184	495	4859
185	498	4861
186	500	4856
187	503	4852
188	506	4848
189	508	4843
190	511	4843
191	513	4838
192	516	4833
193	518	4829
194	521	4826
195	524	4829
196	527	4823
197	529	4819
198	532	4815
199	534	4809
200	537	4809
201	539	4805
202	542	4800
203	544	4795
204	547	4792
205	550	4794
206	552	4789
207	555	4787
208	558	4784
209	560	4780
210	564	4782
211	566	4777
212	568	4772
213	571	4768
214	573	4763
215	576	4764
216	579	4759
217	581	4755
218	584	4751
219	586	4749
220	589	4748
221	592	4745
222	594	4739
223	597	4735
224	599	4730
225	603	4733
226	605	4728
227	607	4724
228	610	4719
229	612	4714
230	615	4714
231	618	4710
232	620	4707
233	623	4703
234	625	4701
235	629	4702
236	631	4698
237	634	4694
238	637	4699
239	641	4707
240	646	4718
241	648	4714
242	651	4711
243	653	4705
244	656	4700
245	659	4701
246	661	4696
247	664	4692
248	666	4687
249	669	4683
250	672	4683
251	674	4680
252	677	4675
253	679	4671
254	682	4667
255	685	4667
256	687	4664
257	690	4660
258	692	4655
259	695	4651
260	698	4653
261	700	4649
262	703	4644
263	705	4639
264	707	4634
265	710	4634
266	713	4630
267	715	4625
268	718	4620
269	720	4616
270	723	4615
271	725	4611
272	728	4606
273	730	4602
274	732	4597
275	735	4597
276	738	4592
277	740	4588
278	743	4584
279	745	4580
280	748	4580
281	751	4576
282	753	4572
283	756	4568
284	758	4564
285	761	4563
286	764	4560
287	766	4556
288	769	4553
289	771	4551
290	775	4551
291	777	4546
292	780	4544
293	782	4540
294	785	4537
295	788	4539
296	791	4535
297	794	4536
298	797	4534
299	799	4530
300	802	4530
301	805	4526
302	807	4523
303	810	4519
304	812	4515
305	815	4514
306	817	4510
307	820	4507
308	822	4502
309	825	4499
310	828	4499
311	832	4504
312	835	4502
313	837	4498
314	840	4493
315	843	4492
316	845	4488
317	847	4484
318	850	4480
319	852	4476
320	855	4475
321	857	4471
322	860	4466
323	862	4462
324	865	4459
325	868	4458
326	870	4455
327	873	4451
328	875	4447
329	878	4444
330	881	4443
331	883	4439
332	886	4435
333	888	4431
334	890	4427
335	893	4425
336	896	4423
337	899	4421
338	901	4417
339	904	4414
340	907	4413
341	909	4409
342	912	4406
343	914	4402
344	917	4399
345	920	4398
346	922	4394
347	924	4390
348	927	4386
349	929	4383
350	932	4381
351	935	4377
352	937	4373
353	939	4369
354	942	4365
355	945	4364
356	947	4360
357	949	4356
358	952	4352
359	954	4349
360	957	4348
361	960	4344
362	962	4341
363	964	4337
364	967	4333
365	970	4331
366	972	4328
367	975	4324
368	977	4320
369	979	4316
370	982	4314
371	985	4310
372	987	4307
373	989	4303
374	992	4299
375	995	4301
376	998	4298
377	1000	4295
378	1003	4291
379	1005	4287
380	1008	4286
381	1011	4282
382	1013	4279
383	1015	4275
384	1018	4271
385	1021	4269
386	1023	4265
387	1025	4261
388	1028	4258
389	1030	4254
390	1033	4252
391	1035	4248
392	1038	4245
393	1040	4241
394	1043	4238
395	1046	4238
396	1048	4234
397	1051	4230
398	1053	4226
399	1055	4223
400	1058	4222
401	1061	4218
402	1063	4215
403	1066	4211
404	1068	4208
405	1071	4207
406	1074	4204
407	1076	4200
408	1079	4197
409	1081	4194
410	1084	4193
411	1087	4190
412	1089	4187
413	1092	4184
414	1094	4180
415	1097	4180
416	1100	4176
417	1102	4173
418	1105	4170
419	1107	4166
420	1110	4165
421	1112	4161
422	1115	4157
423	1117	4154
424	1119	4150
425	1122	4148
426	1125	4145
427	1128	4143
428	1130	4139
