iter	Passed	Remaining
0	3	7897
1	6	6448
2	8	5952
3	11	5675
4	13	5536
5	17	5670
6	20	5712
7	22	5623
8	25	5544
9	27	5491
10	30	5591
11	33	5543
12	36	5504
13	38	5500
14	41	5467
15	44	5575
16	47	5547
17	50	5537
18	53	5549
19	55	5524
20	58	5542
21	61	5519
22	64	5512
23	66	5483
24	69	5460
25	72	5507
26	75	5494
27	77	5478
28	80	5463
29	82	5447
30	86	5465
31	88	5451
32	91	5435
33	93	5420
34	96	5411
35	99	5435
36	102	5417
37	104	5395
38	106	5378
39	109	5370
40	112	5397
41	116	5451
42	120	5503
43	124	5521
44	126	5508
45	130	5525
46	132	5507
47	135	5496
48	137	5481
49	140	5468
50	143	5481
51	146	5469
52	148	5461
53	151	5449
54	153	5439
55	157	5453
56	159	5442
57	162	5430
58	164	5420
59	167	5409
60	170	5422
61	173	5412
62	175	5402
63	178	5391
64	180	5384
65	184	5397
66	187	5396
67	189	5384
68	192	5375
69	194	5365
70	198	5396
71	201	5388
72	203	5378
73	206	5368
74	208	5363
75	212	5367
76	215	5382
77	218	5374
78	220	5365
79	223	5355
80	226	5363
81	229	5359
82	231	5353
83	234	5343
84	236	5338
85	240	5343
86	242	5335
87	245	5323
88	247	5317
89	250	5306
90	254	5333
91	256	5325
92	259	5314
93	261	5306
94	264	5297
95	267	5300
96	269	5290
97	272	5282
98	274	5275
99	277	5267
100	280	5269
101	282	5260
102	285	5253
103	287	5245
104	290	5237
105	293	5242
106	296	5243
107	298	5237
108	301	5229
109	303	5222
110	307	5225
111	309	5219
112	312	5214
113	314	5205
114	317	5199
115	320	5208
116	323	5204
117	325	5195
118	328	5185
119	330	5179
120	333	5184
121	336	5174
122	338	5167
123	341	5159
124	343	5151
125	346	5156
126	349	5148
127	351	5146
128	354	5138
129	356	5134
130	360	5136
131	362	5135
132	365	5128
133	367	5124
134	370	5116
135	373	5121
136	375	5112
137	378	5104
138	381	5102
139	383	5095
140	386	5099
141	389	5091
142	391	5086
143	393	5078
144	396	5073
145	399	5075
146	402	5068
147	404	5061
148	406	5054
149	409	5047
150	412	5051
151	414	5044
152	417	5041
153	420	5034
154	422	5027
155	425	5029
156	427	5024
157	430	5017
158	432	5010
159	435	5004
160	438	5009
161	440	5003
162	443	4995
163	445	4990
164	448	4985
165	451	4991
166	454	4988
167	457	4985
168	459	4981
169	462	4975
170	465	4977
171	467	4970
172	469	4962
173	472	4957
174	474	4951
175	477	4952
176	480	4948
177	482	4943
178	485	4936
179	487	4929
180	490	4931
181	493	4926
182	495	4921
183	497	4914
184	500	4910
185	503	4911
186	506	4907
187	508	4900
188	510	4895
189	513	4888
190	516	4889
191	518	4883
192	521	4879
193	523	4872
194	525	4867
195	528	4867
196	531	4861
197	533	4857
198	536	4852
199	538	4847
200	541	4846
201	543	4841
202	546	4834
203	548	4829
204	550	4824
205	553	4824
206	556	4822
207	558	4815
208	561	4811
209	564	4807
210	566	4807
211	569	4800
212	571	4797
213	574	4792
214	576	4787
215	579	4787
216	582	4783
217	584	4778
218	587	4777
219	589	4773
220	593	4777
221	596	4777
222	598	4772
223	601	4766
224	603	4762
225	607	4766
226	609	4762
227	612	4757
228	614	4751
229	616	4746
230	619	4745
231	622	4740
232	624	4734
233	626	4730
234	629	4724
235	631	4723
236	634	4718
237	636	4713
238	638	4707
239	641	4702
240	644	4702
241	646	4697
242	649	4694
243	651	4688
244	653	4684
245	656	4683
246	659	4677
247	661	4673
248	663	4669
249	666	4663
250	669	4662
251	671	4657
252	673	4653
253	676	4648
254	678	4643
255	681	4642
256	683	4637
257	686	4632
258	688	4628
259	690	4623
260	693	4623
261	696	4617
262	698	4613
263	700	4608
264	703	4604
265	706	4606
266	710	4612
267	713	4609
268	716	4612
269	720	4615
270	723	4616
271	726	4612
272	729	4613
273	731	4608
274	733	4602
275	736	4602
276	739	4598
277	741	4594
278	743	4589
279	746	4583
280	749	4582
281	751	4578
282	753	4573
283	756	4569
284	758	4565
285	761	4563
286	763	4559
287	766	4554
288	768	4551
289	771	4547
290	774	4548
291	776	4543
292	779	4539
293	781	4535
294	783	4530
295	786	4529
296	789	4525
297	791	4521
298	793	4517
299	796	4513
300	799	4511
301	801	4507
302	804	4503
303	806	4499
304	808	4495
305	811	4494
306	814	4491
307	816	4487
308	819	4483
309	821	4480
310	824	4479
311	827	4476
312	829	4471
313	831	4467
314	834	4463
315	837	4463
316	839	4458
317	842	4454
318	844	4450
319	846	4446
320	850	4447
321	852	4443
322	855	4439
323	857	4435
324	859	4430
325	862	4430
326	865	4427
327	867	4423
328	870	4419
329	872	4415
330	875	4414
331	877	4410
332	880	4406
333	882	4403
334	885	4399
335	888	4399
336	890	4395
337	893	4391
338	895	4386
339	897	4382
340	900	4381
341	903	4377
342	905	4373
343	907	4370
344	910	4366
345	913	4365
346	915	4361
347	917	4357
348	920	4353
349	922	4349
350	925	4348
351	927	4344
352	930	4341
353	932	4337
354	935	4333
355	938	4332
356	940	4328
357	942	4324
358	945	4320
359	947	4317
360	950	4316
361	953	4313
362	955	4309
363	957	4305
364	960	4301
365	963	4301
366	965	4297
367	967	4292
368	970	4288
369	972	4284
370	975	4284
371	978	4280
372	980	4278
373	983	4274
374	985	4271
375	988	4270
376	991	4267
377	993	4263
378	995	4259
379	998	4255
380	1001	4254
381	1003	4251
382	1006	4247
383	1008	4243
384	1010	4239
385	1013	4238
386	1015	4234
387	1018	4231
388	1020	4227
389	1023	4225
390	1026	4224
391	1029	4222
392	1032	4220
393	1034	4217
394	1037	4213
395	1040	4213
396	1042	4209
397	1044	4205
398	1047	4202
399	1049	4198
400	1052	4197
401	1055	4194
402	1057	4190
403	1059	4186
404	1062	4182
405	1064	4180
406	1067	4177
407	1069	4173
408	1072	4170
409	1074	4167
410	1077	4166
411	1081	4167
412	1084	4165
413	1086	4162
414	1088	4158
415	1092	4158
416	1094	4154
417	1096	4151
418	1099	4148
419	1101	4145
420	1105	4145
421	1108	4143
422	1110	4140
423	1112	4136
424	1115	4133
425	1118	4134
426	1122	4136
427	1125	4132
428	1127	4128
429	1129	4125
430	1133	4124
431	1135	4120
432	1137	4117
433	1140	4114
434	1142	4110
435	1145	4109
436	1148	4106
437	1150	4102
438	1153	4100
439	1155	4096
440	1158	4095
441	1160	4092
442	1163	4088
443	1165	4085
444	1167	4081
445	1171	4080
446	1173	4076
447	1175	4073
448	1178	4069
449	1180	4066
450	1183	4065
451	1185	4061
452	1188	4057
453	1190	4054
454	1193	4051
455	1196	4050
456	1198	4046
457	1200	4043
458	1203	4040
459	1205	4037
460	1208	4036
461	1211	4033
462	1213	4029
463	1216	4025
464	1218	4022
465	1221	4021
466	1223	4017
467	1226	4013
468	1228	4010
469	1230	4006
470	1234	4006
471	1237	4004
472	1239	4001
473	1241	3998
474	1244	3994
475	1247	3993
476	1249	3990
477	1252	3986
478	1254	3983
479	1256	3979
480	1259	3978
481	1262	3976
482	1264	3972
483	1267	3969
484	1269	3966
485	1272	3965
486	1275	3961
487	1277	3958
488	1279	3954
489	1282	3951
490	1285	3950
491	1288	3947
492	1290	3943
493	1292	3940
494	1295	3937
495	1298	3936
496	1300	3933
497	1302	3929
498	1305	3926
499	1307	3922
500	1310	3921
501	1312	3918
502	1315	3915
503	1317	3912
504	1320	3908
505	1323	3907
506	1325	3904
507	1328	3900
508	1330	3897
509	1332	3894
510	1336	3894
511	1339	3892
512	1341	3888
513	1343	3885
514	1346	3882
515	1349	3880
516	1351	3877
517	1354	3874
518	1356	3871
519	1359	3868
520	1362	3866
521	1364	3864
522	1367	3861
523	1369	3857
524	1371	3854
525	1374	3852
526	1377	3849
527	1379	3846
528	1381	3842
