iter	Passed	Remaining
0	14	28421
1	24	24922
2	35	23855
3	46	23141
4	56	22615
5	67	22540
6	78	22265
7	88	21968
8	97	21642
9	107	21481
10	118	21484
11	129	21481
12	139	21291
13	149	21141
14	158	21040
15	169	21015
16	179	20969
17	188	20764
18	197	20627
19	207	20582
20	217	20516
21	227	20409
22	235	20278
23	244	20134
24	253	20003
25	263	19975
26	271	19861
27	280	19753
28	289	19650
29	298	19586
30	307	19537
31	318	19578
32	326	19478
33	337	19502
34	346	19452
35	355	19403
36	365	19368
37	373	19298
38	381	19204
39	390	19146
40	400	19117
41	408	19021
42	416	18974
43	425	18936
44	434	18885
45	443	18859
46	451	18773
47	459	18678
48	466	18575
49	475	18556
50	484	18511
51	491	18409
52	498	18318
53	505	18224
54	512	18140
55	521	18090
56	528	18010
57	536	17957
58	543	17874
59	550	17789
60	558	17752
61	565	17690
62	573	17637
63	581	17579
64	589	17561
65	597	17510
66	604	17439
67	610	17359
68	619	17341
69	625	17257
70	633	17198
71	639	17123
72	645	17049
73	652	16979
74	658	16908
75	665	16845
76	671	16776
77	678	16722
78	685	16662
79	691	16604
80	699	16569
81	707	16539
82	713	16489
83	720	16433
84	726	16377
85	733	16334
86	740	16280
87	746	16227
88	753	16177
89	760	16131
90	766	16089
91	774	16059
92	781	16015
93	787	15970
94	794	15933
95	801	15903
96	808	15857
97	814	15810
98	821	15770
99	827	15731
100	835	15700
101	841	15664
102	847	15614
103	854	15569
104	860	15536
105	868	15517
106	875	15485
107	881	15444
108	890	15444
109	897	15423
110	904	15400
111	911	15367
112	917	15328
113	924	15294
114	931	15261
115	937	15233
116	944	15202
117	951	15170
118	957	15140
119	964	15103
120	970	15078
121	977	15049
122	984	15029
123	991	15000
124	997	14969
125	1006	14963
126	1012	14938
127	1018	14897
128	1025	14867
129	1031	14834
130	1038	14812
131	1044	14776
132	1050	14750
133	1057	14726
134	1064	14699
135	1071	14682
136	1078	14659
137	1085	14645
138	1091	14613
139	1098	14589
140	1105	14573
141	1112	14555
142	1119	14537
143	1125	14504
144	1131	14478
145	1139	14467
146	1146	14445
147	1152	14427
148	1158	14395
149	1164	14362
150	1171	14348
151	1178	14328
152	1184	14302
153	1190	14276
154	1196	14247
155	1204	14234
156	1209	14203
157	1216	14183
158	1222	14159
159	1229	14137
160	1235	14112
161	1241	14087
162	1246	14053
163	1252	14023
164	1258	13994
165	1264	13974
166	1271	13950
167	1277	13933
168	1283	13902
169	1288	13872
170	1295	13856
171	1301	13829
172	1306	13802
173	1312	13774
174	1318	13751
175	1325	13740
176	1332	13724
177	1338	13703
178	1345	13685
179	1351	13661
180	1357	13645
181	1364	13628
182	1371	13615
183	1379	13614
184	1385	13590
185	1391	13571
186	1398	13560
187	1403	13531
188	1411	13529
189	1417	13507
190	1424	13495
191	1432	13492
192	1438	13468
193	1443	13441
194	1448	13411
195	1455	13398
196	1461	13375
197	1466	13343
198	1472	13322
199	1478	13304
200	1486	13307
201	1493	13292
202	1499	13274
203	1505	13251
204	1510	13229
205	1518	13220
206	1526	13221
207	1533	13211
