iter	RMSE	R2	MAE
0	0.329885428	0.09271395672	0.188538804
5	0.272710781	0.3799558551	0.124885694
10	0.2417394564	0.5127935832	0.08440986142
15	0.2248929076	0.5783331199	0.05884852121
20	0.2159617473	0.6111592824	0.04326917286
25	0.2103757107	0.631014617	0.03390794545
30	0.2067687315	0.6435590282	0.02840839351
35	0.2037294606	0.6539605135	0.02524753842
40	0.2011869663	0.6625435999	0.02340647674
45	0.1988691984	0.6702741188	0.02222452945
50	0.1972278811	0.6756942712	0.02151119636
55	0.1955966618	0.6810365927	0.02119155773
60	0.1941463096	0.6857493075	0.02075811197
65	0.1924223417	0.6913054546	0.02056146203
70	0.1907627989	0.6966071434	0.02039263801
75	0.1892488954	0.7014034644	0.02022527206
80	0.1876215049	0.7065168053	0.01990580576
85	0.1862283625	0.7108590277	0.01967722552
90	0.1847682857	0.7153751723	0.01947460948
95	0.1833691159	0.7196694649	0.01933693117
100	0.1820596801	0.7236588719	0.01900802025
105	0.1806955669	0.7277844026	0.01884574284
110	0.1790787509	0.7326340161	0.01867065339
115	0.1777648826	0.7365428925	0.01847609192
120	0.1765823919	0.7400362471	0.01837875223
125	0.1751487561	0.7442402834	0.01826595534
130	0.1738967404	0.7478837468	0.01823010546
135	0.1722993302	0.7524943826	0.01818915458
140	0.1707157509	0.7570230225	0.01806125196
145	0.1694704244	0.7605549986	0.01806846525
150	0.1680225735	0.764628851	0.01797370837
155	0.1669182389	0.7677126362	0.01793361578
160	0.1658107477	0.7707848178	0.01789141318
165	0.164317015	0.7748961224	0.0178547651
170	0.1628867005	0.7787978922	0.01776062728
175	0.1614738893	0.7826184894	0.01769977013
180	0.1601768355	0.7860967435	0.01762830735
185	0.1591083717	0.7889409306	0.01759692694
190	0.1579468607	0.7920111899	0.01762566784
195	0.156689792	0.7953087205	0.01763832114
200	0.1554811607	0.7984543344	0.01757432561
205	0.1545544412	0.8008496981	0.01755102132
