iter	Passed	Remaining
0	4	8475
1	7	7113
2	10	6850
3	12	6409
4	16	6498
5	20	6680
6	23	6693
7	26	6653
8	29	6514
9	32	6552
10	36	6570
11	39	6486
12	41	6404
13	44	6372
14	48	6361
15	51	6388
16	55	6433
17	58	6470
18	62	6466
19	65	6476
20	69	6503
21	72	6538
22	76	6576
23	79	6542
24	82	6548
25	86	6553
26	89	6504
27	92	6530
28	95	6523
29	99	6525
30	103	6564
31	105	6517
32	109	6535
33	113	6553
34	117	6577
35	121	6623
36	124	6601
37	128	6609
38	131	6599
39	134	6573
40	138	6620
41	141	6595
42	144	6555
43	147	6542
44	149	6504
45	153	6511
46	155	6480
47	158	6453
48	161	6414
49	164	6404
50	168	6432
51	171	6421
52	174	6418
53	177	6401
54	180	6378
55	183	6370
56	188	6409
57	191	6426
58	196	6454
59	199	6465
60	203	6476
61	206	6444
62	208	6421
63	211	6405
64	214	6394
65	218	6395
66	221	6381
67	223	6361
68	226	6339
69	229	6314
70	232	6311
71	235	6298
72	238	6285
73	241	6273
74	243	6253
75	246	6250
76	249	6237
77	252	6218
78	254	6196
79	257	6177
80	260	6168
81	263	6155
82	265	6141
83	268	6126
84	271	6108
85	274	6118
86	277	6103
87	280	6085
88	282	6065
89	285	6056
90	288	6052
91	291	6036
92	293	6021
93	296	6014
94	299	5998
95	303	6011
96	305	5999
97	308	5992
98	312	5993
99	315	5986
100	318	5996
101	321	5983
102	324	5983
103	327	5977
104	330	5972
105	334	5974
106	337	5964
107	340	5957
108	343	5951
109	345	5939
110	349	5941
111	352	5938
112	354	5923
113	357	5915
114	360	5905
115	363	5903
116	365	5889
117	368	5874
118	370	5863
119	373	5852
120	376	5847
121	379	5834
122	381	5823
123	384	5816
124	386	5803
125	390	5807
126	393	5798
127	395	5788
128	398	5779
129	401	5772
130	404	5772
131	406	5758
132	409	5746
133	412	5737
134	414	5724
135	417	5728
136	420	5717
137	422	5706
138	425	5695
139	428	5686
140	431	5685
141	433	5676
142	436	5665
143	439	5658
144	441	5648
145	444	5646
146	447	5635
147	450	5632
148	452	5621
149	456	5628
150	461	5648
151	464	5644
152	466	5633
153	469	5622
154	472	5621
155	475	5622
156	479	5634
157	484	5645
158	487	5641
159	489	5630
160	492	5627
161	495	5616
162	497	5606
163	499	5597
164	502	5588
165	506	5591
166	508	5583
167	511	5573
168	513	5564
169	516	5555
170	519	5558
171	522	5549
172	524	5542
173	527	5534
174	529	5526
175	533	5529
176	536	5522
177	538	5511
178	541	5504
179	543	5498
180	547	5497
181	549	5490
182	551	5480
183	554	5473
184	557	5466
185	560	5464
186	562	5456
187	565	5450
188	567	5441
189	570	5433
190	573	5430
191	575	5423
192	578	5417
193	581	5408
194	583	5399
195	586	5398
196	588	5390
197	591	5386
198	594	5377
199	596	5369
200	599	5367
201	602	5359
202	604	5351
203	607	5344
204	610	5341
205	613	5345
206	616	5337
