iter	RMSE	R2	MAE
0	0.1302005471	0.1593277735	0.09636879322
5	0.08537984442	0.6384970688	0.06129159551
10	0.05797297817	0.833331937	0.03957466201
15	0.04168192172	0.9138418012	0.02640457998
20	0.03243563832	0.9478269762	0.01877646542
25	0.02729635036	0.9630503535	0.01450524251
30	0.02449515397	0.9702448968	0.01215052192
35	0.02290945901	0.973972599	0.01086409342
40	0.02191088396	0.9761921066	0.01016896539
45	0.02116701912	0.977781202	0.009712038409
50	0.02065323759	0.9788467346	0.009445632015
55	0.02027904109	0.9796063015	0.009249493824
60	0.01992629836	0.9803096059	0.009096133867
65	0.01964546929	0.9808607027	0.008966181907
70	0.01937749229	0.9813792862	0.008838863587
75	0.01919743708	0.9817237268	0.008749034113
80	0.01900396359	0.9820902501	0.008670673389
85	0.01880840492	0.9824569509	0.008570587115
90	0.0186780533	0.9826992736	0.00851327284
95	0.01855292883	0.9829302921	0.008462557972
100	0.01839064887	0.9832276003	0.008370950252
105	0.01824044093	0.9835004613	0.008307904437
110	0.01811223294	0.9837315911	0.008238759754
115	0.01803091046	0.9838773491	0.008203383602
120	0.01789358851	0.9841219903	0.008134175998
125	0.0178164139	0.9842586596	0.008102155669
130	0.01768622198	0.9844878752	0.008038187569
135	0.01758744426	0.9846606639	0.007995723943
140	0.01743398037	0.9849271906	0.007933509714
145	0.01735726673	0.9850595475	0.007895608759
150	0.01726096631	0.9852248687	0.00785293426
155	0.01715567507	0.9854045739	0.007800481961
160	0.01700041589	0.9856675566	0.007748587453
165	0.01691381927	0.9858131972	0.007715229329
170	0.01677828364	0.9860396544	0.00767266877
175	0.01666304693	0.9862307608	0.007630559999
180	0.01656056765	0.9863996045	0.007600311681
185	0.01647980489	0.9865319305	0.007561379604
190	0.01634481149	0.9867516738	0.007508482885
195	0.01627142279	0.9868703791	0.007471864172
200	0.01614876114	0.9870675873	0.007438223751
205	0.01607060056	0.9871924705	0.007399177169
210	0.01599505347	0.9873126033	0.007365035075
215	0.01592133321	0.9874292857	0.007338808642
220	0.0158374743	0.9875613573	0.007300633326
225	0.01577726321	0.9876557555	0.007277219662
230	0.01569156482	0.9877894941	0.00724350895
235	0.01559588663	0.9879379455	0.007211506194
240	0.01549896636	0.9880873991	0.007179641185
