iter	Passed	Remaining
0	3	7221
1	6	6134
2	8	5759
3	11	5633
4	13	5489
5	16	5647
6	19	5534
7	22	5508
8	24	5426
9	27	5422
10	30	5465
11	32	5429
12	35	5387
13	37	5365
14	40	5340
15	43	5374
16	45	5345
17	48	5320
18	50	5294
19	53	5267
20	56	5302
21	58	5280
22	61	5258
23	63	5237
24	66	5216
25	69	5247
26	71	5233
27	74	5218
28	76	5211
29	79	5189
30	82	5215
31	84	5199
32	87	5190
33	89	5170
34	91	5151
35	94	5175
36	97	5164
37	99	5150
38	102	5138
39	104	5120
40	107	5140
41	110	5133
42	112	5122
43	115	5117
44	117	5116
45	120	5135
46	123	5122
47	125	5113
48	128	5104
49	130	5089
50	133	5098
51	135	5091
52	138	5082
53	140	5069
54	143	5062
55	146	5073
56	148	5073
57	151	5067
58	153	5058
59	156	5051
60	159	5058
61	162	5068
62	164	5073
63	167	5062
64	169	5051
65	172	5059
66	175	5050
67	177	5039
68	179	5032
69	182	5024
70	185	5030
71	187	5020
72	189	5005
73	191	4995
74	194	4989
75	197	4993
76	199	4982
77	201	4972
78	204	4965
79	206	4959
80	209	4961
81	211	4951
82	214	4943
83	216	4936
84	218	4930
85	221	4938
86	224	4931
87	226	4921
88	228	4911
89	231	4903
90	233	4906
91	236	4896
92	238	4889
93	240	4879
94	242	4870
95	245	4875
96	248	4869
97	250	4862
98	252	4852
99	255	4845
100	258	4851
101	260	4844
102	262	4837
103	264	4829
104	267	4821
105	270	4825
106	272	4823
107	275	4819
108	277	4811
109	279	4803
110	282	4807
111	284	4798
112	286	4789
113	289	4782
114	291	4777
115	294	4777
116	296	4770
117	298	4764
118	300	4757
119	303	4752
120	306	4755
121	308	4751
122	311	4747
123	313	4741
124	315	4735
125	319	4758
126	323	4776
127	327	4792
128	331	4802
129	333	4797
130	336	4802
131	338	4795
132	341	4788
133	343	4781
134	345	4775
135	348	4781
136	351	4785
137	354	4779
138	356	4774
139	358	4768
140	361	4771
141	364	4767
142	366	4757
143	368	4752
144	370	4744
145	373	4745
146	376	4740
147	378	4735
148	380	4728
149	382	4722
150	385	4722
151	387	4715
152	390	4709
153	392	4705
154	395	4701
155	398	4706
156	400	4703
157	402	4698
158	405	4693
159	407	4689
160	410	4692
161	413	4688
162	415	4683
163	417	4677
164	420	4671
165	422	4669
166	425	4665
167	427	4660
168	429	4657
169	432	4651
170	435	4653
171	437	4648
172	439	4646
173	442	4642
174	444	4639
175	448	4643
176	450	4638
177	452	4635
178	455	4633
179	457	4627
180	460	4628
181	462	4623
182	465	4618
183	467	4614
184	470	4611
185	472	4612
186	475	4607
187	477	4603
188	479	4597
189	482	4593
190	485	4595
191	487	4590
192	489	4585
193	492	4580
194	494	4575
195	497	4576
196	499	4573
197	501	4567
198	504	4563
199	506	4559
200	509	4560
201	511	4556
202	514	4551
203	516	4548
204	518	4543
205	521	4543
206	524	4540
207	526	4535
208	528	4531
209	531	4528
210	534	4530
211	536	4525
212	538	4521
213	541	4518
214	543	4513
215	546	4512
216	548	4508
217	550	4503
218	553	4499
219	555	4495
220	558	4496
221	560	4491
222	563	4488
223	565	4484
224	567	4479
225	570	4481
226	573	4477
227	575	4473
228	578	4470
229	580	4465
230	583	4466
231	585	4462
232	588	4459
233	590	4455
234	592	4450
235	595	4451
236	597	4447
237	600	4444
238	602	4440
239	604	4436
240	607	4436
241	610	4431
