net,3_cycle_norm,4_cycle_norm,5_cycle_norm,6_cycle_norm,7_cycle_norm,8_cycle_norm,9_cycle_norm,10_cycle_norm,11_cycle_norm,12_cycle_norm
acs,0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
afi,0.0,0.166666667,0.0,0.833333333,0.0,0.0,0.0,0.0,0.0,0.0
alb,0.0,0.777777778,0.0,0.222222222,0.0,0.0,0.0,0.0,0.0,0.0
ana,0.0,0.333333333,0.0,0.333333333,0.0,0.333333333,0.0,0.0,0.0,0.0
ana-e,0.5,0.083333333,0.0,0.083333333,0.0,0.333333333,0.0,0.0,0.0,0.0
ana-f,0.0,0.333333333,0.0,0.0,0.0,0.333333333,0.0,0.0,0.0,0.333333333
anh,0.0,0.352941176,0.0,0.0,0.0,0.529411765,0.0,0.117647059,0.0,0.0
apo,0.0,0.2,0.0,0.733333333,0.0,0.066666667,0.0,0.0,0.0,0.0
atn,0.0,0.333333333,0.0,0.5,0.0,0.166666667,0.0,0.0,0.0,0.0
ato,0.0,0.166666667,0.0,0.833333333,0.0,0.0,0.0,0.0,0.0,0.0
bcs,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
bcu-f,0.0,0.0,0.0,0.0,0.0,0.333333333,0.0,0.666666667,0.0,0.0
bcu-h,0.0,0.0,0.0,0.0,0.0,0.333333333,0.0,0.666666667,0.0,0.0
bcu-i,0.3,0.1,0.2,0.0,0.0,0.3,0.1,0.0,0.0,0.0
bcu-k,0.266666667,0.333333333,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
bcu-l,0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
bmn,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bpr,0.0,0.0,0.0,0.0,0.0,0.666666667,0.0,0.0,0.0,0.333333333
bva,0.0,0.0,0.0,0.333333333,0.0,0.333333333,0.0,0.0,0.0,0.333333333
bwt,0.0,0.0,0.0,0.333333333,0.0,0.0,0.0,0.0,0.0,0.666666667
cag,0.0,0.166666667,0.0,0.833333333,0.0,0.0,0.0,0.0,0.0,0.0
can,0.0,0.333333333,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0
cbo,0.166666667,0.0,0.0,0.166666667,0.666666667,0.0,0.0,0.0,0.0,0.0
cds-f,0.0,0.777777778,0.0,0.0,0.0,0.222222222,0.0,0.0,0.0,0.0
cha,0.0,0.5,0.0,0.166666667,0.0,0.333333333,0.0,0.0,0.0,0.0
cml,0.0,0.166666667,0.0,0.666666667,0.0,0.166666667,0.0,0.0,0.0,0.0
cor,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
crs,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
csq,0.0,0.588235294,0.0,0.411764706,0.0,0.0,0.0,0.0,0.0,0.0
ctn,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
dag,0.0,0.388888889,0.0,0.0,0.0,0.611111111,0.0,0.0,0.0,0.0
deh,0.0,0.0,0.0,0.0,0.0,0.666666667,0.0,0.0,0.0,0.333333333
dei,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333
dia-a,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
dia-j,0.333333333,0.266666667,0.0,0.133333333,0.0,0.0,0.0,0.0,0.0,0.266666667
ecd,0.321428571,0.357142857,0.321428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ech,0.285714286,0.428571429,0.285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eci,0.214285714,0.428571429,0.357142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecj,0.214285714,0.571428571,0.214285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecm,0.214285714,0.5,0.285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecs,0.357142857,0.428571429,0.214285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecv,0.107142857,0.678571429,0.178571429,0.035714286,0.0,0.0,0.0,0.0,0.0,0.0
eea,0.0,0.333333333,0.0,0.166666667,0.0,0.333333333,0.0,0.0,0.0,0.166666667
etb,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
etf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fau,0.0,0.5,0.0,0.333333333,0.0,0.0,0.0,0.0,0.0,0.166666667
fca,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.2
